id,date,user,pc,activity
{00000001E205-313F746E},2010-01-04 16:26:21,KIX3704,PC-0058,Disconnect
{00000001E39E-04DE75AE},2010-01-04 16:46:03,LYE5717,PC-0069,Disconnect
{00000001CDE5-062A21F3},2010-01-04 16:53:35,MDR4757,PC-0071,Connect
{00000001E0AE-0BC12C34},2010-01-04 17:01:35,JDE8246,PC-0052,Disconnect
{00000001EBD6-0073FDA9},2010-01-04 17:10:33,UUU6648,PC-0122,Disconnect
{00000001C84D-0AC371BA},2010-01-04 17:12:52,GRQ1397,PC-0036,Connect
{00000001D346-133C6106},2010-01-04 17:14:21,SHV5792,PC-0108,Connect
{00000001E947-213DA065},2010-01-04 17:24:21,SHV5792,PC-0108,Disconnect
{00000001DE4E-2B350D86},2010-01-04 17:27:52,GRQ1397,PC-0036,Disconnect
{00000001C3FE-39ED434D},2010-01-04 17:35:45,AUI6616,PC-0004,Connect
{00000001E3E6-0718DA2A},2010-01-04 17:36:35,MDR4757,PC-0071,Disconnect
{00000001DC42-0D706019},2010-01-04 17:47:46,DHG6594,PC-0016,Disconnect
{00000001CFE0-090C0CC9},2010-01-04 17:49:24,OLN5687,PC-0088,Connect
{00000001D9FF-0054C347},2010-01-04 18:13:45,AUI6616,PC-0004,Disconnect
{00000001E5E1-26A5CB1C},2010-01-04 19:01:24,OLN5687,PC-0088,Disconnect
{00000001C3D8-20849E24},2010-01-05 07:03:00,ATM7194,PC-0003,Connect
{00000001CC06-1FDAD2DD},2010-01-05 07:12:51,KIX3704,PC-0058,Connect
{00000001C909-37860D72},2010-01-05 07:19:08,HVG7968,PC-0044,Connect
{00000001CE3A-18D70A0C},2010-01-05 07:23:37,MSH7807,PC-0075,Connect
{00000001DF0A-2D9F2D98},2010-01-05 07:41:08,HVG7968,PC-0044,Disconnect
{00000001D16F-3C7FC076},2010-01-05 07:41:58,QSC3123,PC-0100,Connect
{00000001E43B-3235F052},2010-01-05 08:01:37,MSH7807,PC-0075,Disconnect
{00000001D9D9-01950C6F},2010-01-05 08:08:00,ATM7194,PC-0003,Disconnect
{00000001E770-0D0BB20F},2010-01-05 08:09:58,QSC3123,PC-0100,Disconnect
{00000001D348-3A4C64B3},2010-01-05 08:10:13,SHV5792,PC-0108,Connect
{00000001CAAE-2D9F0A86},2010-01-05 08:37:43,JDE8246,PC-0052,Connect
{00000001CC05-1C0456FC},2010-01-05 08:38:09,KIX3704,PC-0058,Connect
{00000001D2AB-0FBDA049},2010-01-05 08:38:21,SDT4191,PC-0106,Connect
{00000001E207-1F20FAE4},2010-01-05 08:39:51,KIX3704,PC-0058,Disconnect
{00000001E0AF-3F6E415E},2010-01-05 08:44:43,JDE8246,PC-0052,Disconnect
{00000001E949-3ED20755},2010-01-05 08:50:13,SHV5792,PC-0108,Disconnect
{00000001D3E6-1EB7E021},2010-01-05 09:02:23,TWU8511,PC-0115,Connect
{00000001E9E7-1BB652C9},2010-01-05 09:09:23,TWU8511,PC-0115,Disconnect
{00000001C84E-1031364B},2010-01-05 09:11:05,GRQ1397,PC-0036,Connect
{00000001CFE2-13E6FF58},2010-01-05 09:26:02,OLN5687,PC-0088,Connect
{00000001CD9E-1A25ED07},2010-01-05 09:28:35,LYE5717,PC-0069,Connect
{00000001E8AC-073BBC12},2010-01-05 09:35:21,SDT4191,PC-0106,Disconnect
{00000001E206-25F9ABC3},2010-01-05 09:42:09,KIX3704,PC-0058,Disconnect
{00000001D83C-2333563C},2010-01-05 09:42:10,YLE8326,PC-0147,Connect
{00000001DE4F-33E9EBFC},2010-01-05 09:50:05,GRQ1397,PC-0036,Disconnect
{00000001CDE6-34313DE5},2010-01-05 09:52:41,MDR4757,PC-0071,Connect
{00000001D2AC-095C4F57},2010-01-05 09:54:22,SDT4191,PC-0106,Connect
{00000001D34A-351FF2A5},2010-01-05 10:04:41,SHV5792,PC-0108,Connect
{00000001E5E3-204AE993},2010-01-05 10:26:02,OLN5687,PC-0088,Disconnect
{00000001CCD6-3EF146B6},2010-01-05 10:33:25,KYR0991,PC-0061,Connect
{00000001C50B-0D8BAEF7},2010-01-05 10:36:45,CQZ8674,PC-0013,Connect
{00000001E8AD-17AAA2CA},2010-01-05 10:41:22,SDT4191,PC-0106,Disconnect
{00000001D3E4-35BEA264},2010-01-05 10:43:46,TWU8511,PC-0115,Connect
{00000001E39F-2BF18F1A},2010-01-05 10:50:35,LYE5717,PC-0069,Disconnect
{00000001EE3D-29BF156F},2010-01-05 10:52:10,YLE8326,PC-0147,Disconnect
{00000001E3E7-33A54768},2010-01-05 11:04:41,MDR4757,PC-0071,Disconnect
{00000001E94B-3CC59777},2010-01-05 11:15:41,SHV5792,PC-0108,Disconnect
{00000001E9E5-2B60EA05},2010-01-05 11:36:46,TWU8511,PC-0115,Disconnect
{00000001E2D7-214006B5},2010-01-05 11:38:25,KYR0991,PC-0061,Disconnect
{00000001DB0C-39FD817E},2010-01-05 11:40:45,CQZ8674,PC-0013,Disconnect
{00000001C90A-29D8A057},2010-01-05 12:07:59,HVG7968,PC-0044,Connect
{00000001CCD5-1845CFC1},2010-01-05 12:29:03,KYR0991,PC-0061,Connect
{00000001CA60-2D439DFD},2010-01-05 12:34:32,IVL8082,PC-0051,Connect
{00000001E061-0AD42656},2010-01-05 12:37:32,IVL8082,PC-0051,Disconnect
{00000001E2D6-26D67CE8},2010-01-05 12:43:03,KYR0991,PC-0061,Disconnect
{00000001C731-17498CFE},2010-01-05 13:17:36,DNM3159,PC-0019,Connect
{00000001DF0B-183303B5},2010-01-05 13:18:59,HVG7968,PC-0044,Disconnect
{00000001D57A-0702B67B},2010-01-05 13:24:18,USS4618,PC-0121,Connect
{00000001DD32-37FF4341},2010-01-05 13:49:36,DNM3159,PC-0019,Disconnect
{00000001D62C-3FA159E3},2010-01-05 14:00:57,VNI5142,PC-0129,Connect
{00000001EB7B-1D0C9FB1},2010-01-05 14:32:18,USS4618,PC-0121,Disconnect
{00000001D730-2ED8F502},2010-01-05 14:34:05,XGF2493,PC-0139,Connect
{00000001CAB0-05F62BF0},2010-01-05 14:38:13,JDE8246,PC-0052,Connect
{00000001C369-08EE71D9},2010-01-05 14:48:40,ADG1145,PC-0001,Connect
{00000001EC2D-21AAE0CC},2010-01-05 14:51:57,VNI5142,PC-0129,Disconnect
{00000001D3E5-0F6F0F61},2010-01-05 15:26:40,TWU8511,PC-0115,Connect
{00000001C5B4-15093D04},2010-01-05 15:28:48,CVC0519,PC-0015,Connect
{00000001E0B1-00D43608},2010-01-05 15:31:13,JDE8246,PC-0052,Disconnect
{00000001CC07-379E1D04},2010-01-05 15:33:01,KIX3704,PC-0058,Connect
{00000001C36A-253393A1},2010-01-05 15:34:12,ADG1145,PC-0001,Connect
{00000001D2AD-2EAB8547},2010-01-05 15:35:32,SDT4191,PC-0106,Connect
{00000001D96B-17C9C55D},2010-01-05 15:38:12,ADG1145,PC-0001,Disconnect
{00000001CAAF-0526C252},2010-01-05 15:40:30,JDE8246,PC-0052,Connect
{00000001D62B-0C50B8EB},2010-01-05 15:43:34,VNI5142,PC-0129,Connect
{00000001CB20-2F5BFDF5},2010-01-05 15:44:39,JMM0438,PC-0053,Connect
{00000001ED31-0252DE17},2010-01-05 15:46:05,XGF2493,PC-0139,Disconnect
{00000001CFE1-35231195},2010-01-05 15:53:59,OLN5687,PC-0088,Connect
{00000001D96A-3D27B690},2010-01-05 16:09:40,ADG1145,PC-0001,Disconnect
{00000001E8AE-37A7D65C},2010-01-05 16:10:32,SDT4191,PC-0106,Disconnect
{00000001E208-172B3E2B},2010-01-05 16:13:01,KIX3704,PC-0058,Disconnect
{00000001E0B0-2E1393E1},2010-01-05 16:27:30,JDE8246,PC-0052,Disconnect
{00000001E9E6-0861EF0C},2010-01-05 16:28:40,TWU8511,PC-0115,Disconnect
{00000001D786-071CBAFD},2010-01-05 16:37:00,YDM6963,PC-0145,Connect
{00000001C47B-1D0C90AF},2010-01-05 16:39:09,AZE5960,PC-0006,Connect
{00000001E5E2-07D1A36B},2010-01-05 16:46:59,OLN5687,PC-0088,Disconnect
{00000001DBB5-06270BBB},2010-01-05 16:49:48,CVC0519,PC-0015,Disconnect
{00000001D347-3BBB371D},2010-01-05 17:01:15,SHV5792,PC-0108,Connect
{00000001C3FF-13F2E26A},2010-01-05 17:01:40,AUI6616,PC-0004,Connect
{00000001EC2C-341F85E7},2010-01-05 17:02:34,VNI5142,PC-0129,Disconnect
{00000001ED87-215C5792},2010-01-05 17:08:00,YDM6963,PC-0145,Disconnect
{00000001E121-04EA0F8F},2010-01-05 17:08:39,JMM0438,PC-0053,Disconnect
{00000001CA61-065863C0},2010-01-05 17:21:59,IVL8082,PC-0051,Connect
{00000001DA7C-352A4DBA},2010-01-05 17:39:09,AZE5960,PC-0006,Disconnect
{00000001E948-1F37DAFC},2010-01-05 17:51:15,SHV5792,PC-0108,Disconnect
{00000001D349-089E13F1},2010-01-05 17:59:01,SHV5792,PC-0108,Connect
{00000001E94A-03AC7C7C},2010-01-05 18:15:01,SHV5792,PC-0108,Disconnect
{00000001E062-3C4F37C3},2010-01-05 18:21:59,IVL8082,PC-0051,Disconnect
{00000001DA00-11661ADD},2010-01-05 18:22:40,AUI6616,PC-0004,Disconnect
{00000001C84F-10DC2918},2010-01-06 07:40:47,GRQ1397,PC-0036,Connect
{00000001CED6-1E2D1C05},2010-01-06 07:43:56,NRU3936,PC-0083,Connect
{00000001D731-355F55B4},2010-01-06 07:49:08,XGF2493,PC-0139,Connect
{00000001E4D7-290549C8},2010-01-06 07:49:56,NRU3936,PC-0083,Disconnect
{00000001D788-2D00519B},2010-01-06 07:50:15,YDM6963,PC-0145,Connect
{00000001ED32-03E5EAD0},2010-01-06 07:55:08,XGF2493,PC-0139,Disconnect
{00000001D62E-34324C91},2010-01-06 08:17:05,VNI5142,PC-0129,Connect
{00000001ED89-1349B06B},2010-01-06 08:19:15,YDM6963,PC-0145,Disconnect
{00000001CFE3-20D5AC9F},2010-01-06 08:21:18,OLN5687,PC-0088,Connect
{00000001EC2F-0D2B2228},2010-01-06 08:27:05,VNI5142,PC-0129,Disconnect
{00000001DE50-3083D946},2010-01-06 08:32:47,GRQ1397,PC-0036,Disconnect
{00000001C90C-27060BAE},2010-01-06 08:50:32,HVG7968,PC-0044,Connect
{00000001E5E4-321D37D8},2010-01-06 09:00:18,OLN5687,PC-0088,Disconnect
{00000001CCD7-383CEE55},2010-01-06 09:17:50,KYR0991,PC-0061,Connect
{00000001CD8B-1F58BE8D},2010-01-06 09:22:41,LRR4710,PC-0067,Connect
{00000001D941-0A3A82EE},2010-01-06 09:41:37,ZWA2339,PC-0158,Connect
{00000001DF0D-2CD90984},2010-01-06 09:47:32,HVG7968,PC-0044,Disconnect
{00000001C3D9-362FD094},2010-01-06 10:09:26,ATM7194,PC-0003,Connect
{00000001E38C-210CD9A6},2010-01-06 10:26:41,LRR4710,PC-0067,Disconnect
{00000001C400-2A7450AF},2010-01-06 10:28:56,AUI6616,PC-0004,Connect
{00000001C850-173B4766},2010-01-06 10:29:45,GRQ1397,PC-0036,Connect
{00000001EF42-3834BEDF},2010-01-06 10:30:37,ZWA2339,PC-0158,Disconnect
{00000001E2D8-29AF7717},2010-01-06 10:46:50,KYR0991,PC-0061,Disconnect
{00000001CE61-247B296F},2010-01-06 10:50:35,NBM1814,PC-0077,Connect
{00000001C90D-19FB20BA},2010-01-06 11:03:41,HVG7968,PC-0044,Connect
{00000001D170-1E6A20F6},2010-01-06 11:18:09,QSC3123,PC-0100,Connect
{00000001D9DA-2CB0E4CD},2010-01-06 11:22:26,ATM7194,PC-0003,Disconnect
{00000001D787-0E2B9F9C},2010-01-06 11:28:20,YDM6963,PC-0145,Connect
{00000001E462-059E37C3},2010-01-06 11:39:35,NBM1814,PC-0077,Disconnect
{00000001CC09-2A27381C},2010-01-06 11:42:16,KIX3704,PC-0058,Connect
{00000001DA01-12914227},2010-01-06 11:46:56,AUI6616,PC-0004,Disconnect
{00000001CD6C-147DD1DB},2010-01-06 11:51:52,LGT9691,PC-0063,Connect
{00000001E36D-13DAA5AB},2010-01-06 11:53:52,LGT9691,PC-0063,Disconnect
{00000001DE51-07C1F5C5},2010-01-06 11:58:45,GRQ1397,PC-0036,Disconnect
{00000001CC0B-13926441},2010-01-06 11:59:13,KIX3704,PC-0058,Connect
{00000001E771-227802E6},2010-01-06 12:03:09,QSC3123,PC-0100,Disconnect
{00000001ED88-2AB5C5ED},2010-01-06 12:05:20,YDM6963,PC-0145,Disconnect
{00000001C41C-1DD3E8C6},2010-01-06 12:16:39,AYY2409,PC-0005,Connect
{00000001DF0E-2D5F8968},2010-01-06 12:23:41,HVG7968,PC-0044,Disconnect
{00000001C766-248EAD6D},2010-01-06 12:41:06,EHP1536,PC-0027,Connect
{00000001E20C-3D5B1EC4},2010-01-06 12:42:13,KIX3704,PC-0058,Disconnect
{00000001DD67-14194F69},2010-01-06 12:50:06,EHP1536,PC-0027,Disconnect
{00000001E20A-345F8B89},2010-01-06 12:51:16,KIX3704,PC-0058,Disconnect
{00000001D942-0EDBED7E},2010-01-06 12:54:11,ZWA2339,PC-0158,Connect
{00000001DA1D-3D78FB31},2010-01-06 13:24:39,AYY2409,PC-0005,Disconnect
{00000001D34C-3F779B59},2010-01-06 14:01:37,SHV5792,PC-0108,Connect
{00000001EF43-2B8F96C0},2010-01-06 14:03:11,ZWA2339,PC-0158,Disconnect
{00000001D8D7-139A5AF7},2010-01-06 14:21:29,ZUI9718,PC-0157,Connect
{00000001D57B-3DF8C134},2010-01-06 14:24:19,USS4618,PC-0121,Connect
{00000001EB7C-31BED915},2010-01-06 14:38:19,USS4618,PC-0121,Disconnect
{00000001C765-27B37953},2010-01-06 14:39:46,EHP1536,PC-0027,Connect
{00000001EED8-1254BF90},2010-01-06 14:59:29,ZUI9718,PC-0157,Disconnect
{00000001DD66-2FEE2D2A},2010-01-06 15:17:46,EHP1536,PC-0027,Disconnect
{00000001E94D-00F82972},2010-01-06 15:23:37,SHV5792,PC-0108,Disconnect
{00000001CCD8-01983EB7},2010-01-06 15:28:19,KYR0991,PC-0061,Connect
{00000001CC0A-02055CAD},2010-01-06 15:45:29,KIX3704,PC-0058,Connect
{00000001D34B-1873AF70},2010-01-06 15:53:50,SHV5792,PC-0108,Connect
{00000001E2D9-02968024},2010-01-06 15:59:19,KYR0991,PC-0061,Disconnect
{00000001CED8-103B94E4},2010-01-06 16:05:46,NRU3936,PC-0083,Connect
{00000001D2AE-1418E801},2010-01-06 16:11:12,SDT4191,PC-0106,Connect
{00000001D83D-2FACBF33},2010-01-06 16:15:38,YLE8326,PC-0147,Connect
{00000001E4D9-22FE89C3},2010-01-06 16:17:46,NRU3936,PC-0083,Disconnect
{00000001D62D-16A378E2},2010-01-06 16:32:49,VNI5142,PC-0129,Connect
{00000001EE3E-3F159C9E},2010-01-06 16:41:38,YLE8326,PC-0147,Disconnect
{00000001E20B-10B7C0A1},2010-01-06 16:51:29,KIX3704,PC-0058,Disconnect
{00000001E8AF-0EE59C16},2010-01-06 16:56:12,SDT4191,PC-0106,Disconnect
{00000001D3E7-18B0C6F4},2010-01-06 16:57:08,TWU8511,PC-0115,Connect
{00000001E9E8-367FFFC5},2010-01-06 17:05:08,TWU8511,PC-0115,Disconnect
{00000001E94C-121AE9D8},2010-01-06 17:18:50,SHV5792,PC-0108,Disconnect
{00000001C90B-1F1B328E},2010-01-06 17:38:59,HVG7968,PC-0044,Connect
{00000001EC2E-0C27AB71},2010-01-06 17:43:49,VNI5142,PC-0129,Disconnect
{00000001CC08-0D37C02A},2010-01-06 17:44:33,KIX3704,PC-0058,Connect
{00000001CED7-2CC71C68},2010-01-06 17:56:20,NRU3936,PC-0083,Connect
{00000001DF0C-1177B819},2010-01-06 18:38:59,HVG7968,PC-0044,Disconnect
{00000001E4D8-38E1BAB1},2010-01-06 18:45:20,NRU3936,PC-0083,Disconnect
{00000001E209-34DB12B7},2010-01-06 19:01:33,KIX3704,PC-0058,Disconnect
{00000001CF9D-3EB7ECAF},2010-01-07 07:51:12,OET6830,PC-0086,Connect
{00000001D344-2C8D8730},2010-01-07 08:15:30,SEX5010,PC-0107,Connect
{00000001E59E-05DC8755},2010-01-07 08:43:12,OET6830,PC-0086,Disconnect
{00000001D83E-00C33D0F},2010-01-07 08:50:46,YLE8326,PC-0147,Connect
{00000001E945-0CC1C9AC},2010-01-07 09:23:30,SEX5010,PC-0107,Disconnect
{00000001CB21-3CB7A69C},2010-01-07 09:37:36,JMM0438,PC-0053,Connect
{00000001EE3F-04E97F87},2010-01-07 09:40:46,YLE8326,PC-0147,Disconnect
{00000001D2AF-37575EE4},2010-01-07 10:06:13,SDT4191,PC-0106,Connect
{00000001C768-387613C4},2010-01-07 10:09:19,EHP1536,PC-0027,Connect
{00000001E122-30C6A4E3},2010-01-07 10:25:36,JMM0438,PC-0053,Disconnect
{00000001D52D-39B153A9},2010-01-07 10:36:14,UQK8227,PC-0120,Connect
{00000001CCBF-173E72B9},2010-01-07 10:37:29,KJX0944,PC-0059,Connect
{00000001DD69-15C9E257},2010-01-07 10:50:19,EHP1536,PC-0027,Disconnect
{00000001D57C-04ADC177},2010-01-07 10:51:49,USS4618,PC-0121,Connect
{00000001EB7D-2BF60378},2010-01-07 11:02:49,USS4618,PC-0121,Disconnect
{00000001CF9C-3D567A5B},2010-01-07 11:10:16,OET6830,PC-0086,Connect
{00000001E8B0-21328E09},2010-01-07 11:11:13,SDT4191,PC-0106,Disconnect
{00000001CF80-0EBED8E9},2010-01-07 11:17:36,OEM8566,PC-0085,Connect
{00000001C767-06BB8D6A},2010-01-07 11:19:09,EHP1536,PC-0027,Connect
{00000001C41E-1C783462},2010-01-07 11:25:47,AYY2409,PC-0005,Connect
{00000001DD68-213E5CC0},2010-01-07 11:33:09,EHP1536,PC-0027,Disconnect
{00000001DA1F-23AC181A},2010-01-07 11:33:47,AYY2409,PC-0005,Disconnect
{00000001E2C0-3396EEC3},2010-01-07 11:49:29,KJX0944,PC-0059,Disconnect
{00000001EB2E-1CD52171},2010-01-07 11:56:14,UQK8227,PC-0120,Disconnect
{00000001E59D-22D6F2A3},2010-01-07 12:06:16,OET6830,PC-0086,Disconnect
{00000001C4BF-39957613},2010-01-07 12:11:57,COU3039,PC-0011,Connect
{00000001CA62-07B3B426},2010-01-07 12:32:14,IVL8082,PC-0051,Connect
{00000001C47C-13B976C5},2010-01-07 12:32:24,AZE5960,PC-0006,Connect
{00000001E063-17E9D7E9},2010-01-07 12:35:14,IVL8082,PC-0051,Disconnect
{00000001E581-35457746},2010-01-07 12:41:36,OEM8566,PC-0085,Disconnect
{00000001CC0D-21C9C957},2010-01-07 12:43:21,KIX3704,PC-0058,Connect
{00000001CC0C-2B1FD6CE},2010-01-07 12:48:33,KIX3704,PC-0058,Connect
{00000001E20D-2941502E},2010-01-07 12:57:33,KIX3704,PC-0058,Disconnect
{00000001DA7D-22AC8485},2010-01-07 12:59:24,AZE5960,PC-0006,Disconnect
{00000001DAC0-28F1B780},2010-01-07 13:23:57,COU3039,PC-0011,Disconnect
{00000001E20E-03AF7DFB},2010-01-07 13:34:21,KIX3704,PC-0058,Disconnect
{00000001D29B-2C92FFB1},2010-01-07 13:47:29,SBF1746,PC-0105,Connect
{00000001E89C-3ED1C5FE},2010-01-07 13:54:29,SBF1746,PC-0105,Disconnect
{00000001D6CD-0114C165},2010-01-07 14:08:50,WLH0216,PC-0135,Connect
{00000001CF9B-1DD3E2D6},2010-01-07 14:11:05,OET6830,PC-0086,Connect
{00000001E59C-03A650BB},2010-01-07 14:19:05,OET6830,PC-0086,Disconnect
{00000001CDE7-07601F42},2010-01-07 14:39:00,MDR4757,PC-0071,Connect
{00000001D943-10A55412},2010-01-07 14:59:24,ZWA2339,PC-0158,Connect
{00000001ECCE-13D82880},2010-01-07 15:10:50,WLH0216,PC-0135,Disconnect
{00000001D205-01B4532F},2010-01-07 15:25:36,RUT1946,PC-0104,Connect
{00000001EF44-2AF74CCB},2010-01-07 15:31:24,ZWA2339,PC-0158,Disconnect
{00000001E806-399A88DD},2010-01-07 15:37:36,RUT1946,PC-0104,Disconnect
{00000001E3E8-14BEA7CB},2010-01-07 15:41:00,MDR4757,PC-0071,Disconnect
{00000001CFE4-3473E859},2010-01-07 15:43:33,OLN5687,PC-0088,Connect
{00000001D204-3188F2EE},2010-01-07 15:53:33,RUT1946,PC-0104,Connect
{00000001E805-1ECD62AF},2010-01-07 16:08:33,RUT1946,PC-0104,Disconnect
{00000001D49B-1541F52A},2010-01-07 16:13:08,UEH9251,PC-0117,Connect
{00000001E5E5-16E8C55B},2010-01-07 16:33:33,OLN5687,PC-0088,Disconnect
{00000001C642-1670F3D2},2010-01-07 16:36:17,DHG6594,PC-0016,Connect
{00000001C41D-130FDD17},2010-01-07 16:45:40,AYY2409,PC-0005,Connect
{00000001D8A2-3AA91146},2010-01-07 16:46:53,ZIF9528,PC-0154,Connect
{00000001DC43-0B2EB5B2},2010-01-07 17:19:17,DHG6594,PC-0016,Disconnect
{00000001EA9C-03A5E088},2010-01-07 17:24:08,UEH9251,PC-0117,Disconnect
{00000001C643-1EC91E1D},2010-01-07 17:26:05,DHG6594,PC-0016,Connect
{00000001CAB1-0E766D0F},2010-01-07 17:33:25,JDE8246,PC-0052,Connect
{00000001EEA3-2AA2A072},2010-01-07 17:42:53,ZIF9528,PC-0154,Disconnect
{00000001E0B2-292DF6AC},2010-01-07 17:53:25,JDE8246,PC-0052,Disconnect
{00000001DA1E-142142DD},2010-01-07 17:54:40,AYY2409,PC-0005,Disconnect
{00000001DC44-33A9EE90},2010-01-07 18:10:05,DHG6594,PC-0016,Disconnect
{00000001CD8C-3A274B9E},2010-01-08 07:01:08,LRR4710,PC-0067,Connect
{00000001E38D-321024DB},2010-01-08 07:18:08,LRR4710,PC-0067,Disconnect
{00000001D34E-218692B5},2010-01-08 07:33:27,SHV5792,PC-0108,Connect
{00000001CA13-3BC17B22},2010-01-08 07:50:36,IDI9618,PC-0048,Connect
{00000001CD7F-2B99336F},2010-01-08 07:53:18,LMQ7847,PC-0066,Connect
{00000001E94F-3913ADAC},2010-01-08 08:15:27,SHV5792,PC-0108,Disconnect
{00000001D6CE-1A99C349},2010-01-08 08:24:42,WLH0216,PC-0135,Connect
{00000001C90E-343F4EF9},2010-01-08 08:36:58,HVG7968,PC-0044,Connect
{00000001CC0F-2620C05F},2010-01-08 08:46:40,KIX3704,PC-0058,Connect
