user,department,role,business_unit,login_count,logoff_count,night_login_count,weekend_login_count,unique_pc_count,night_login_ratio,weekend_login_ratio,pc_switching_frequency,usb_connect_count,usb_disconnect_count,usb_total_activity,usb_connect_ratio,file_copy_count,avg_daily_file_copy,max_daily_file_copy,email_sent_count,external_email_count,avg_attachment_count,avg_email_size,external_email_ratio,website_visit_count,unique_domain_count,avg_daily_web_activity,O,C,E,A,N,threat_label
AKW0167,2 - Sales,AdministrativeAssistant,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,3685,1769,0.21,30094.18,0.4801,39444,169,114.0,38.0,38.0,20.0,14.0,35.0,0
ALB0892,3 - FieldService,Technician,1,235,235,0,58,1,0.0,0.2468,0.0043,0,0,0,0.0,0,0.0,0,680,259,0.22,29952.01,0.3809,6815,83,29.0,25.0,19.0,44.0,22.0,30.0,0
ALC0788,3 - Assembly,AssemblySupervisor,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,1004,541,0.67,30369.64,0.5388,10034,192,29.0,34.0,18.0,15.0,36.0,35.0,0
ALD0529,3 - FieldService,Technician,1,622,346,0,0,1,0.0,0.0,0.0016,0,0,0,0.0,0,0.0,0,993,506,0.58,30285.17,0.5096,9976,134,29.0,35.0,21.0,19.0,21.0,27.0,0
ALD0544,1 - Research,Mathematician,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,2971,1365,0.7,30073.18,0.4594,32775,133,95.0,16.0,18.0,18.0,13.0,32.0,0
ALH0402,2 - SoftwareManagement,SoftwareEngineer,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,3039,1432,0.42,29808.01,0.4712,32870,150,95.0,43.0,23.0,43.0,46.0,32.0,0
AMD0077,3 - Engineering,ChiefEngineer,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,5984,2814,0.37,29734.4,0.4703,65740,163,190.0,23.0,19.0,12.0,25.0,25.0,0
AMH0464,3 - Assembly,ProductionLineWorker,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,337,152,0.38,29419.11,0.451,3460,85,10.0,45.0,16.0,42.0,37.0,21.0,0
AMH0794,1 - Research,Physicist,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,2957,939,0.45,29991.36,0.3176,32870,112,95.0,43.0,42.0,33.0,40.0,31.0,0
AMJ0297,3 - Assembly,ProductionLineWorker,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,330,155,0.0,30637.56,0.4697,3460,126,10.0,16.0,43.0,50.0,18.0,28.0,0
AMM0014,5 - Medical,Director,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,6029,3280,0.0,30108.53,0.544,65740,239,190.0,48.0,38.0,15.0,44.0,36.0,0
AMR0318,2 - Sales,Salesman,1,641,372,16,2,1,0.025,0.0031,0.0016,281,140,421,0.6675,230,3.11,9,4974,1784,0.2,30119.86,0.3587,56052,134,162.0,45.0,50.0,17.0,25.0,21.0,0
AMR0400,2 - SoftwareManagement,SoftwareEngineer,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,2987,1400,0.0,29819.66,0.4687,32870,172,95.0,19.0,16.0,47.0,28.0,28.0,0
AMV0036,6 - Security,SecurityGuard,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,4711,2496,0.0,29808.88,0.5298,49478,232,143.0,43.0,36.0,42.0,37.0,26.0,0
AMW0392,2 - SoftwareManagement,ComputerScientist,1,804,450,0,177,1,0.0,0.2201,0.0012,0,0,0,0.0,0,0.0,0,3956,1824,0.18,29891.06,0.4611,40500,208,90.0,47.0,47.0,22.0,44.0,26.0,0
ANM0123,2 - ManufacturingEngineering,AdministrativeAssistant,1,50,32,0,0,2,0.0,0.0,0.04,57,28,85,0.6706,47,3.92,8,270,160,0.68,29891.67,0.5926,2850,103,114.0,22.0,15.0,16.0,21.0,26.0,0
ANP0555,1 - Research,Mathematician,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,3009,1438,0.0,29985.16,0.4779,32870,155,95.0,13.0,40.0,42.0,23.0,28.0,0
ANT0430,3 - Engineering,TestEngineer,1,651,371,0,0,3,0.0,0.0,0.0046,0,0,0,0.0,0,0.0,0,3003,1193,0.71,29809.3,0.3973,32870,112,95.0,12.0,19.0,23.0,48.0,31.0,0
AOB0019,1 - Personnel,HumanResourceSpecialist,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,3638,1406,0.21,29894.59,0.3865,39444,101,114.0,11.0,17.0,13.0,24.0,28.0,0
AOK0844,3 - Assembly,ProductionLineWorker,1,746,440,17,209,15,0.0228,0.2802,0.0201,809,402,1211,0.668,1321,5.1,14,370,171,0.57,30846.64,0.4622,3830,123,10.0,11.0,30.0,44.0,26.0,31.0,0
AOS0987,4 - Safety,HealthSafetyEngineer,1,709,440,0,0,3,0.0,0.0,0.0042,0,0,0,0.0,0,0.0,0,3017,1621,0.52,29971.71,0.5373,31140,194,90.0,16.0,32.0,40.0,30.0,27.0,0
APG0307,3 - Assembly,ProductionLineWorker,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,330,152,0.4,29305.42,0.4606,3460,135,10.0,43.0,39.0,36.0,43.0,22.0,0
AQD0820,2 - SoftwareManagement,SoftwareEngineer,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,3018,1483,0.4,30396.97,0.4914,32870,181,95.0,41.0,31.0,27.0,24.0,39.0,0
ARA0252,3 - Engineering,MechanicalEngineer,1,617,346,0,0,1,0.0,0.0,0.0016,0,0,0,0.0,0,0.0,0,2981,1486,0.69,29871.84,0.4985,32870,155,95.0,39.0,39.0,27.0,21.0,35.0,0
ARB0834,3 - Assembly,ProductionLineWorker,1,211,211,0,0,1,0.0,0.0,0.0047,0,0,0,0.0,0,0.0,0,207,135,0.45,29684.71,0.6522,2110,121,10.0,40.0,42.0,40.0,49.0,26.0,0
ARB0881,3 - FieldService,Technician,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,1016,547,0.75,29696.37,0.5384,10034,135,29.0,38.0,46.0,43.0,10.0,35.0,0
ARD0509,3 - FieldService,Technician,1,362,362,0,0,3,0.0,0.0,0.0083,0,0,0,0.0,0,0.0,0,994,361,0.62,30588.82,0.3632,10380,82,30.0,50.0,40.0,35.0,32.0,32.0,0
ARL0034,6 - Security,SecurityGuard,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,4670,2232,0.35,30079.11,0.4779,49478,125,143.0,41.0,39.0,27.0,21.0,26.0,0
ASB0796,1 - Research,Mathematician,1,265,265,0,0,1,0.0,0.0,0.0038,0,0,0,0.0,0,0.0,0,2298,1145,0.37,30290.53,0.4983,25175,196,95.0,30.0,40.0,23.0,38.0,34.0,0
ASD0577,3 - Assembly,ProductionLineWorker,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,329,214,0.0,30248.66,0.6505,3450,182,10.0,40.0,48.0,36.0,14.0,37.0,0
ASG0048,Unknown,AdministrativeAssistant,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,3631,1751,0.82,29989.74,0.4822,39444,178,114.0,41.0,36.0,19.0,24.0,37.0,0
ASG0692,2 - SoftwareManagement,ComputerScientist,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,2990,1494,0.24,29707.75,0.4997,32870,169,95.0,26.0,40.0,41.0,23.0,27.0,0
ASL0378,1 - Research,Scientist,1,620,346,0,0,1,0.0,0.0,0.0016,0,0,0,0.0,0,0.0,0,2992,1183,0.47,30163.78,0.3954,32870,103,95.0,15.0,15.0,41.0,21.0,27.0,0
ASM0575,3 - Assembly,ProductionLineWorker,1,621,346,0,0,1,0.0,0.0,0.0016,0,0,0,0.0,0,0.0,0,330,167,0.86,29928.48,0.5061,3450,115,10.0,42.0,25.0,21.0,45.0,30.0,0
ASS0206,6 - Security,SecurityGuard,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,4660,2380,0.0,29922.06,0.5107,49335,165,143.0,12.0,18.0,20.0,28.0,30.0,0
ASS0517,3 - FieldService,Technician,1,615,346,0,0,1,0.0,0.0,0.0016,0,0,0,0.0,0,0.0,0,1011,415,0.56,30654.52,0.4105,10034,89,29.0,36.0,35.0,47.0,44.0,32.0,0
ASV0946,3 - Assembly,ProductionLineWorker,1,610,346,0,0,1,0.0,0.0,0.0016,0,0,0,0.0,0,0.0,0,331,159,0.86,30807.5,0.4804,3450,103,10.0,35.0,12.0,46.0,17.0,26.0,0
ATE0869,2 - Sales,Salesman,1,903,524,10,250,4,0.0111,0.2769,0.0044,419,209,628,0.6672,522,3.81,10,7519,3911,0.6,29953.61,0.5201,74205,222,153.0,13.0,15.0,40.0,44.0,33.0,0
ATF0274,3 - Engineering,HardwareEngineer,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,3019,1676,0.62,29615.14,0.5552,32870,197,95.0,20.0,45.0,48.0,27.0,28.0,0
ATP0662,2 - SoftwareManagement,Manager,1,766,479,66,48,2,0.0862,0.0627,0.0026,784,390,1174,0.6678,1273,5.39,14,5103,2675,0.75,29872.84,0.5242,53339,198,143.0,17.0,16.0,41.0,20.0,39.0,0
AVM0947,3 - Assembly,ProductionLineWorker,1,375,375,0,0,30,0.0,0.0,0.08,5984,2986,8970,0.6671,7701,22.26,27,337,136,0.22,30544.87,0.4036,3114,52,9.0,10.0,25.0,30.0,44.0,39.0,0
AWM0764,3 - FieldService,Technician,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,1003,573,0.22,29951.93,0.5713,10034,170,29.0,47.0,37.0,39.0,42.0,36.0,0
BAH0875,2 - Sales,Salesman,1,465,465,72,5,3,0.1548,0.0108,0.0065,0,0,0,0.0,0,0.0,0,5386,2188,0.17,30133.13,0.4062,56052,132,162.0,43.0,19.0,26.0,17.0,30.0,0
BAJ0654,3 - FieldService,Technician,1,388,388,13,0,42,0.0335,0.0,0.1082,279,139,418,0.6675,2919,25.16,27,986,403,0.52,29923.32,0.4087,10034,63,29.0,36.0,10.0,47.0,10.0,41.0,0
BAK0964,3 - Assembly,ProductionLineWorker,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,340,130,0.39,30463.99,0.3824,3460,81,10.0,25.0,16.0,22.0,18.0,28.0,0
BAL0044,6 - Security,ITAdmin,1,1709,1437,678,2,628,0.3967,0.0012,0.3675,2258,1128,3386,0.6669,2900,10.07,31,3696,1873,0.65,30091.77,0.5068,41379,209,119.59,14.0,41.0,26.0,44.0,30.0,0
BAM0611,2 - Sales,Salesman,1,611,346,0,0,1,0.0,0.0,0.0016,0,0,0,0.0,0,0.0,0,5016,1997,0.61,29957.36,0.3981,56052,141,162.0,25.0,30.0,39.0,23.0,25.0,0
BAM0636,3 - FieldService,Technician,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,1001,413,0.19,29857.72,0.4126,10005,72,29.0,13.0,40.0,46.0,42.0,39.0,0
BBG0325,2 - Sales,Salesman,1,643,368,0,0,2,0.0,0.0,0.0031,729,361,1090,0.6688,349,3.12,8,5032,2500,0.5,29732.18,0.4968,56052,174,162.0,41.0,50.0,30.0,37.0,40.0,0
BBH0810,2 - SoftwareManagement,ComputerProgrammer,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,3035,1465,0.0,30306.33,0.4827,32870,173,95.0,40.0,25.0,10.0,21.0,32.0,0
BBS0039,6 - Security,ITAdmin,1,663,663,324,0,385,0.4887,0.0,0.5807,4,2,6,0.6667,1,1.0,1,1679,918,0.42,29753.77,0.5468,17878,185,113.87,44.0,37.0,34.0,21.0,40.0,1
BBS0422,3 - Engineering,ElectricalEngineer,1,498,498,62,69,3,0.1245,0.1386,0.006,305,151,456,0.6689,499,4.75,14,3487,1330,0.55,29867.85,0.3814,37525,103,95.0,39.0,42.0,29.0,41.0,18.0,0
BCB0679,1 - Research,Mathematician,1,577,361,0,0,3,0.0,0.0,0.0052,0,0,0,0.0,0,0.0,0,2439,1374,0.69,30062.65,0.5633,26695,230,95.0,46.0,36.0,39.0,31.0,31.0,0
BCM0653,3 - FieldService,Technician,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,1021,602,0.2,30178.98,0.5896,10034,204,29.0,45.0,34.0,41.0,18.0,31.0,0
BCR0581,3 - Assembly,ProductionLineWorker,1,692,418,0,0,3,0.0,0.0,0.0043,0,0,0,0.0,0,0.0,0,329,152,0.74,29933.5,0.462,3460,123,10.0,20.0,11.0,34.0,36.0,30.0,0
BDB0453,3 - Assembly,ProductionLineWorker,1,400,400,45,0,1,0.1125,0.0,0.0025,0,0,0,0.0,0,0.0,0,338,174,0.0,29332.66,0.5148,3460,127,10.0,41.0,42.0,27.0,41.0,26.0,0
BDI0533,3 - FieldService,Technician,1,862,516,0,187,2,0.0,0.2169,0.0023,1840,918,2758,0.6672,2458,6.14,14,1302,682,0.54,29780.52,0.5238,13530,188,30.0,37.0,36.0,15.0,41.0,19.0,0
BDV0168,2 - Sales,Salesman,1,170,170,4,0,1,0.0235,0.0,0.0059,32,16,48,0.6667,36,18.0,21,2427,1150,0.35,30064.23,0.4738,26733,146,162.02,45.0,31.0,19.0,21.0,31.0,1
BEC0505,2 - Sales,Salesman,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,5019,2395,0.53,30000.26,0.4772,52938,152,153.0,35.0,21.0,30.0,19.0,32.0,0
BEH0615,2 - Sales,Salesman,1,690,406,0,2,22,0.0,0.0029,0.0319,780,386,1166,0.669,268,2.63,9,5123,1934,0.53,30103.44,0.3775,57024,113,162.0,24.0,20.0,50.0,22.0,26.0,0
BER0314,2 - Sales,Salesman,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,4963,2499,0.2,30238.16,0.5035,56052,210,162.0,23.0,20.0,18.0,19.0,32.0,0
BHC0665,3 - FieldService,FieldServiceEngineer,1,463,463,0,0,3,0.0,0.0,0.0065,0,0,0,0.0,0,0.0,0,2973,1163,0.78,30245.27,0.3912,32775,118,95.0,14.0,21.0,12.0,12.0,32.0,0
BHW0458,3 - Assembly,ProductionLineWorker,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,333,155,0.46,30922.69,0.4655,3460,141,10.0,36.0,32.0,28.0,30.0,29.0,0
BIH0745,2 - Sales,Salesman,1,148,148,4,0,1,0.027,0.0,0.0068,22,11,33,0.6667,41,13.67,15,2087,1304,0.7,29749.16,0.6248,23329,253,162.01,43.0,39.0,50.0,27.0,25.0,1
BIS0247,3 - Engineering,MechanicalEngineer,1,664,392,40,6,1,0.0602,0.009,0.0015,232,116,348,0.6667,418,4.92,13,2984,1395,0.2,30203.46,0.4675,31140,161,90.0,36.0,19.0,18.0,39.0,37.0,0
BJH0354,2 - Sales,Manager,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,4727,1610,0.0,29868.26,0.3406,49478,107,143.0,22.0,21.0,31.0,20.0,36.0,0
BJH0811,2 - SoftwareManagement,ComputerProgrammer,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,3038,1658,0.0,29900.2,0.5458,32870,248,95.0,48.0,39.0,44.0,14.0,40.0,0
BJM0111,3 - Engineering,Technician,1,442,442,55,34,1,0.1244,0.0769,0.0023,5821,2902,8723,0.6673,7841,21.31,27,1082,425,0.66,29881.52,0.3928,10672,98,29.0,22.0,24.0,39.0,41.0,19.0,0
BJP0134,3 - Assembly,ProductionLineWorker,1,615,351,0,0,6,0.0,0.0,0.0098,5940,2963,8903,0.6672,8072,23.33,27,338,165,0.61,30323.77,0.4882,3460,106,10.0,42.0,17.0,44.0,21.0,39.0,0
BJW0619,2 - Sales,Salesman,1,346,346,0,0,1,0.0,0.0,0.0029,0,0,0,0.0,0,0.0,0,4973,2315,0.2,29861.96,0.4655,56052,127,162.0,30.0,43.0,47.0,21.0,39.0,0
BKW0374,6 - Security,ITAdmin,1,1358,1358,638,0,620,0.4698,0.0,0.4566,0,0,0,0.0,0,0.0,0,3612,1644,0.34,30058.34,0.4551,39388,140,113.84,41.0,38.0,17.0,46.0,27.0,0
