user,day,logon_count,off_hours_logons,distinct_pcs,usb_connects,off_hours_usb,files_copied_to_usb,sensitive_files_to_usb,total_emails_sent,external_emails_sent,total_attachments,total_email_size,http_requests,cloud_job_visits,role_encoded,department_encoded,supervisor_encoded,is_insider
EIR1445,2010-01-04,1,0,1,0.0,0.0,1.0,0.0,9.0,1.0,9.0,1676668.0,126.0,8.0,3,4,11,0
ETS3545,2010-01-04,2,0,1,0.0,0.0,1.0,1.0,8.0,0.0,6.0,1741495.0,33.0,2.0,9,5,20,0
EYT8043,2010-01-04,1,0,1,0.0,0.0,12.0,7.0,6.0,0.0,7.0,749444.0,101.0,1.0,7,2,1,0
FCN9756,2010-01-04,2,0,1,0.0,0.0,0.0,0.0,10.0,2.0,10.0,2263191.0,46.0,0.0,11,3,26,0
GGB1397,2010-01-04,2,3,1,0.0,0.0,1.0,0.0,11.0,3.0,12.0,2263484.0,105.0,6.0,3,3,4,0
GGZ7460,2010-01-04,2,0,1,0.0,0.0,2.0,1.0,8.0,2.0,9.0,2275595.0,105.0,4.0,2,6,9,0
GHR6302,2010-01-04,3,1,1,0.0,0.0,2.0,2.0,4.0,0.0,2.0,581844.0,61.0,3.0,11,2,9,0
GHU9488,2010-01-04,1,0,1,0.0,0.0,0.0,0.0,9.0,3.0,5.0,1325984.0,22.0,1.0,10,4,26,0
GRQ1397,2010-01-04,1,0,1,1.0,0.0,4.0,2.0,9.0,2.0,8.0,2307530.0,92.0,2.0,11,0,15,0
GUG7168,2010-01-04,2,2,2,1.0,0.0,2.0,1.0,10.0,3.0,8.0,1754601.0,139.0,4.0,7,5,1,0
GZI8020,2010-01-04,1,0,1,0.0,0.0,1.0,1.0,17.0,1.0,15.0,3952441.0,63.0,0.0,0,2,16,0
HBA3736,2010-01-04,2,1,1,0.0,0.0,11.0,3.0,5.0,0.0,0.0,137038.0,44.0,1.0,11,2,1,0
HDA6776,2010-01-04,2,1,1,0.0,0.0,3.0,1.0,5.0,1.0,5.0,1515528.0,38.0,0.0,9,4,7,0
HLN2478,2010-01-04,1,0,1,0.0,0.0,1.0,1.0,8.0,1.0,8.0,2266870.0,87.0,0.0,1,3,12,0
HLZ9923,2010-01-04,1,0,1,0.0,0.0,1.0,1.0,8.0,2.0,7.0,1439172.0,87.0,3.0,11,5,4,0
HMR4907,2010-01-04,4,6,1,0.0,0.0,5.0,2.0,4.0,1.0,2.0,426794.0,108.0,5.0,4,3,23,0
HVG7968,2010-01-04,4,2,1,1.0,0.0,0.0,0.0,8.0,3.0,5.0,1533546.0,110.0,5.0,8,3,15,0
IAC0900,2010-01-04,1,0,1,1.0,0.0,2.0,0.0,11.0,2.0,9.0,1801347.0,89.0,3.0,0,0,4,0
ICP9160,2010-01-04,4,5,2,0.0,0.0,2.0,1.0,4.0,0.0,3.0,561511.0,124.0,6.0,4,0,16,0
ICR6722,2010-01-04,1,0,1,0.0,0.0,6.0,4.0,7.0,0.0,2.0,681429.0,51.0,2.0,11,2,25,0
IDI9618,2010-01-04,1,1,1,0.0,0.0,1.0,1.0,11.0,4.0,11.0,2957928.0,87.0,0.0,1,6,13,0
IFO6698,2010-01-04,3,2,1,0.0,0.0,0.0,0.0,4.0,2.0,4.0,874405.0,48.0,0.0,11,6,20,0
IIY1438,2010-01-04,3,0,1,0.0,0.0,0.0,0.0,9.0,0.0,9.0,1718559.0,64.0,2.0,6,4,23,0
IVL8082,2010-01-04,1,0,1,1.0,0.0,0.0,0.0,13.0,0.0,16.0,4941110.0,116.0,4.0,9,4,12,0
JDE8246,2010-01-04,2,1,1,1.0,0.0,2.0,0.0,12.0,2.0,11.0,3020204.0,91.0,0.0,3,2,23,0
JMM0438,2010-01-04,4,2,2,0.0,0.0,12.0,5.0,17.0,6.0,14.0,3324467.0,133.0,6.0,6,1,8,0
JPS8745,2010-01-04,1,1,1,0.0,0.0,1.0,1.0,17.0,4.0,13.0,3276709.0,73.0,2.0,11,0,12,0
JVA8961,2010-01-04,1,0,1,0.0,0.0,1.0,0.0,14.0,2.0,13.0,3758822.0,80.0,4.0,4,2,20,0
JXM6997,2010-01-04,5,3,2,0.0,0.0,9.0,2.0,11.0,5.0,13.0,2920557.0,84.0,3.0,7,2,15,0
KFW8041,2010-01-04,1,1,2,0.0,0.0,1.0,0.0,4.0,1.0,0.0,142190.0,30.0,0.0,2,1,19,0
KIX3704,2010-01-04,3,2,2,1.0,0.0,0.0,0.0,4.0,2.0,2.0,450077.0,44.0,2.0,5,1,24,0
KJX0944,2010-01-04,4,3,1,0.0,0.0,3.0,2.0,6.0,3.0,5.0,1199273.0,71.0,1.0,8,0,8,0
KVI1669,2010-01-04,2,1,1,0.0,0.0,2.0,0.0,5.0,0.0,4.0,1312219.0,39.0,0.0,5,4,17,0
KYR0991,2010-01-04,1,0,1,1.0,0.0,0.0,0.0,11.0,3.0,12.0,2954379.0,134.0,5.0,5,6,8,0
LDO0211,2010-01-04,3,4,1,0.0,0.0,4.0,2.0,10.0,4.0,8.0,2333374.0,29.0,1.0,4,4,8,0
LGT9691,2010-01-04,1,0,1,0.0,0.0,0.0,0.0,3.0,0.0,5.0,1432887.0,44.0,3.0,4,3,21,0
LJE6857,2010-01-04,4,0,2,0.0,0.0,6.0,2.0,5.0,2.0,1.0,495624.0,113.0,0.0,9,2,21,0
LME4168,2010-01-04,1,1,1,0.0,0.0,1.0,0.0,11.0,0.0,8.0,2367717.0,31.0,0.0,5,2,14,0
LMQ7847,2010-01-04,5,3,1,0.0,0.0,1.0,1.0,15.0,6.0,12.0,2852780.0,140.0,0.0,5,0,19,0
LRR4710,2010-01-04,1,0,1,0.0,0.0,0.0,0.0,10.0,0.0,15.0,2893757.0,105.0,1.0,6,4,3,0
LWC6973,2010-01-04,2,1,1,0.0,0.0,0.0,0.0,5.0,1.0,2.0,611004.0,38.0,0.0,11,3,5,0
LYE5717,2010-01-04,2,2,2,1.0,0.0,1.0,1.0,12.0,2.0,11.0,2405841.0,84.0,1.0,7,0,15,0
MAP5551,2010-01-04,4,6,2,0.0,0.0,3.0,0.0,4.0,2.0,2.0,917056.0,105.0,2.0,2,2,10,0
MDR4757,2010-01-04,1,0,1,1.0,0.0,0.0,0.0,6.0,3.0,7.0,1835332.0,101.0,4.0,3,1,4,0
MGI5307,2010-01-04,1,0,1,1.0,0.0,1.0,1.0,5.0,1.0,6.0,1253509.0,114.0,7.0,1,1,17,0
MLE3810,2010-01-04,1,0,1,0.0,0.0,0.0,0.0,14.0,6.0,10.0,2778441.0,103.0,2.0,6,4,19,0
MNL1438,2010-01-04,1,1,1,0.0,0.0,4.0,3.0,4.0,1.0,2.0,654188.0,74.0,5.0,5,3,15,0
MSH7807,2010-01-04,2,1,3,0.0,0.0,0.0,0.0,8.0,2.0,4.0,1775420.0,62.0,1.0,1,4,12,0
MUB0827,2010-01-04,1,0,1,0.0,0.0,2.0,0.0,2.0,2.0,1.0,437874.0,88.0,1.0,4,4,15,0
NBM1814,2010-01-04,1,0,1,1.0,0.0,2.0,1.0,14.0,2.0,8.0,2604355.0,134.0,5.0,5,6,27,0
NDV4503,2010-01-04,2,1,2,0.0,0.0,10.0,7.0,3.0,1.0,2.0,397263.0,90.0,2.0,2,5,4,0
NHY9248,2010-01-04,2,0,1,0.0,0.0,0.0,0.0,3.0,0.0,2.0,580849.0,111.0,4.0,9,4,17,0
NJE9267,2010-01-04,1,1,1,0.0,0.0,4.0,1.0,3.0,0.0,2.0,584936.0,84.0,4.0,1,6,9,0
NJT3274,2010-01-04,2,0,1,0.0,0.0,1.0,1.0,3.0,1.0,3.0,1060760.0,115.0,6.0,4,3,9,0
NRI9556,2010-01-04,4,2,1,1.0,0.0,3.0,2.0,3.0,1.0,2.0,471257.0,126.0,0.0,7,6,3,0
NRU3936,2010-01-04,1,0,1,0.0,0.0,5.0,2.0,3.0,1.0,2.0,828020.0,43.0,0.0,7,5,4,0
ODH5540,2010-01-04,1,1,1,0.0,0.0,2.0,0.0,12.0,3.0,9.0,2047210.0,37.0,2.0,1,4,17,0
OEM8566,2010-01-04,2,0,1,0.0,0.0,1.0,0.0,6.0,2.0,4.0,910305.0,87.0,0.0,8,6,23,0
OET6830,2010-01-04,3,0,1,0.0,0.0,0.0,0.0,7.0,1.0,11.0,2176748.0,76.0,0.0,3,3,25,0
OLL2272,2010-01-04,4,2,1,0.0,0.0,1.0,1.0,8.0,0.0,12.0,2498923.0,90.0,1.0,10,5,3,0
OLN5687,2010-01-04,3,2,1,1.0,0.0,1.0,1.0,13.0,5.0,10.0,2668542.0,19.0,1.0,1,1,17,0
OMU2669,2010-01-04,3,0,2,0.0,0.0,1.0,1.0,5.0,2.0,0.0,167641.0,46.0,1.0,8,6,26,0
OQO5535,2010-01-04,1,0,2,1.0,0.0,3.0,2.0,5.0,1.0,6.0,1052245.0,94.0,5.0,11,4,25,0
OYC3975,2010-01-04,2,2,1,0.0,0.0,3.0,2.0,4.0,2.0,3.0,670470.0,93.0,4.0,7,5,5,0
PAJ4367,2010-01-04,1,0,1,0.0,0.0,2.0,1.0,5.0,1.0,9.0,2548297.0,94.0,3.0,11,3,4,0
PGI3675,2010-01-04,3,0,2,0.0,0.0,0.0,0.0,11.0,8.0,13.0,4522792.0,95.0,3.0,0,6,26,0
PJY0876,2010-01-04,1,0,1,0.0,0.0,7.0,1.0,16.0,4.0,11.0,3201548.0,115.0,3.0,5,0,6,0
PPH0228,2010-01-04,2,1,1,0.0,0.0,0.0,0.0,10.0,1.0,10.0,2659761.0,104.0,4.0,0,0,13,0
PUQ6424,2010-01-04,1,0,1,0.0,0.0,0.0,0.0,10.0,1.0,5.0,1284140.0,99.0,1.0,2,3,4,0
QCT4158,2010-01-04,2,0,1,0.0,0.0,3.0,1.0,13.0,0.0,15.0,3749818.0,75.0,2.0,9,5,14,0
QHQ5150,2010-01-04,1,0,1,0.0,0.0,3.0,1.0,6.0,2.0,4.0,1248522.0,92.0,2.0,2,5,27,0
QOY4162,2010-01-04,1,1,1,0.0,0.0,3.0,1.0,13.0,0.0,11.0,3835528.0,40.0,4.0,6,3,18,0
QSC3123,2010-01-04,4,1,1,2.0,0.0,0.0,0.0,13.0,0.0,10.0,3280184.0,57.0,1.0,9,4,25,0
QUT1345,2010-01-04,1,0,1,0.0,0.0,2.0,2.0,15.0,6.0,11.0,3183699.0,83.0,4.0,1,3,12,0
RCE5876,2010-01-04,1,0,1,0.0,0.0,0.0,0.0,11.0,6.0,9.0,2618684.0,92.0,3.0,8,6,1,0
RLI6273,2010-01-04,2,1,1,0.0,0.0,0.0,0.0,15.0,4.0,13.0,3742062.0,92.0,3.0,1,4,22,0
RUT1946,2010-01-04,4,0,1,2.0,0.0,8.0,2.0,8.0,1.0,9.0,2438911.0,29.0,0.0,9,2,23,0
SBF1746,2010-01-04,1,0,1,0.0,0.0,0.0,0.0,12.0,1.0,9.0,1672245.0,86.0,4.0,7,6,22,0
SDT4191,2010-01-04,4,0,3,0.0,0.0,5.0,2.0,4.0,1.0,3.0,899167.0,47.0,2.0,0,0,14,0
SEX5010,2010-01-04,2,0,1,0.0,0.0,2.0,2.0,14.0,6.0,15.0,4089270.0,111.0,2.0,10,6,12,0
SHV5792,2010-01-04,4,1,1,1.0,0.0,3.0,0.0,5.0,1.0,1.0,276748.0,116.0,2.0,7,1,7,0
SSY7686,2010-01-04,1,0,1,0.0,0.0,0.0,0.0,9.0,3.0,9.0,1627422.0,74.0,0.0,5,2,13,0
TPH4125,2010-01-04,5,3,1,0.0,0.0,6.0,5.0,10.0,3.0,12.0,4250501.0,86.0,2.0,1,5,27,0
TPY8677,2010-01-04,2,2,1,0.0,0.0,1.0,0.0,11.0,4.0,9.0,2308919.0,73.0,1.0,3,5,8,0
TTJ2624,2010-01-04,1,1,1,0.0,0.0,0.0,0.0,8.0,7.0,7.0,1857446.0,71.0,0.0,9,6,22,0
TTS7860,2010-01-04,2,1,1,0.0,0.0,1.0,1.0,3.0,0.0,2.0,667038.0,111.0,2.0,11,5,9,0
TVL8047,2010-01-04,5,1,2,0.0,0.0,2.0,2.0,8.0,0.0,5.0,1397101.0,87.0,2.0,2,4,12,0
TWU8511,2010-01-04,1,0,1,0.0,0.0,0.0,0.0,10.0,0.0,9.0,1193621.0,65.0,2.0,8,2,26,0
UBE4939,2010-01-04,1,0,1,0.0,0.0,8.0,5.0,12.0,1.0,9.0,2850812.0,56.0,2.0,1,0,18,0
UEH9251,2010-01-04,1,0,1,0.0,0.0,2.0,1.0,6.0,0.0,1.0,515980.0,34.0,0.0,8,0,10,0
UKR6395,2010-01-04,1,1,1,1.0,0.0,1.0,0.0,5.0,0.0,3.0,774064.0,31.0,1.0,2,2,13,0
ULT2722,2010-01-04,5,2,1,0.0,0.0,2.0,1.0,12.0,3.0,11.0,2974329.0,46.0,0.0,4,0,25,0
UQK8227,2010-01-04,2,2,2,1.0,0.0,1.0,1.0,8.0,2.0,8.0,2131476.0,80.0,10.0,0,3,11,0
USS4618,2010-01-04,2,0,1,1.0,0.0,2.0,0.0,6.0,1.0,3.0,1274985.0,105.0,2.0,0,5,11,0
UUU6648,2010-01-04,1,0,1,1.0,0.0,4.0,2.0,7.0,0.0,5.0,1498164.0,85.0,1.0,0,6,16,0
VBL5911,2010-01-04,1,0,1,0.0,0.0,0.0,0.0,9.0,1.0,6.0,2120587.0,48.0,6.0,11,3,14,0
VBW2813,2010-01-04,1,0,1,0.0,0.0,4.0,2.0,14.0,2.0,9.0,2685205.0,31.0,1.0,3,6,15,0
VDL1237,2010-01-04,2,2,1,0.0,0.0,2.0,1.0,10.0,0.0,4.0,1587561.0,67.0,4.0,4,6,10,0
VFU0073,2010-01-04,1,0,1,0.0,0.0,1.0,0.0,9.0,3.0,4.0,606273.0,110.0,5.0,9,6,8,0
VIZ5045,2010-01-04,3,1,2,0.0,0.0,1.0,1.0,9.0,5.0,10.0,2616695.0,65.0,3.0,0,3,1,0
VKX2883,2010-01-04,1,1,1,0.0,0.0,4.0,2.0,15.0,2.0,21.0,4527799.0,103.0,2.0,10,2,6,0
VNI5142,2010-01-04,2,2,1,1.0,0.0,2.0,1.0,6.0,1.0,4.0,1195181.0,99.0,3.0,8,6,22,0
VVU9026,2010-01-04,1,0,1,0.0,0.0,2.0,1.0,9.0,6.0,13.0,2600992.0,41.0,2.0,11,1,11,0
VVY1052,2010-01-04,1,0,1,0.0,0.0,4.0,1.0,9.0,2.0,9.0,2721501.0,84.0,3.0,2,2,15,0
VXF8934,2010-01-04,1,0,2,0.0,0.0,0.0,0.0,8.0,1.0,7.0,2763658.0,113.0,1.0,4,0,22,0
WAR1091,2010-01-04,2,1,2,0.0,0.0,0.0,0.0,8.0,2.0,2.0,828873.0,73.0,1.0,7,5,27,0
WBM5944,2010-01-04,3,1,1,0.0,0.0,2.0,1.0,13.0,5.0,5.0,1874813.0,39.0,0.0,6,4,25,0
WLH0216,2010-01-04,1,1,1,0.0,0.0,0.0,0.0,4.0,0.0,4.0,997892.0,111.0,2.0,5,0,8,0
WOC7649,2010-01-04,1,0,1,0.0,0.0,0.0,0.0,8.0,2.0,6.0,1283784.0,154.0,3.0,4,1,8,0
WVH6316,2010-01-04,4,0,1,0.0,0.0,2.0,1.0,5.0,0.0,6.0,2216492.0,81.0,3.0,9,3,15,0
XDT1792,2010-01-04,2,0,1,0.0,0.0,5.0,2.0,10.0,4.0,15.0,3931072.0,72.0,2.0,5,3,6,0
XGF2493,2010-01-04,4,1,1,2.0,0.0,4.0,1.0,9.0,1.0,9.0,2458816.0,41.0,1.0,2,5,23,0
XGZ9360,2010-01-04,1,0,1,0.0,0.0,0.0,0.0,9.0,2.0,8.0,2142214.0,119.0,1.0,2,1,0,0
XHL6619,2010-01-04,3,3,2,0.0,0.0,0.0,0.0,9.0,1.0,5.0,1054680.0,79.0,2.0,2,6,13,0
XTJ9675,2010-01-04,3,1,1,0.0,0.0,1.0,1.0,9.0,2.0,7.0,2032039.0,34.0,0.0,0,3,2,0
XXP1655,2010-01-04,4,2,2,0.0,0.0,0.0,0.0,10.0,1.0,7.0,1373744.0,106.0,1.0,8,5,25,0
YAE2296,2010-01-04,3,4,3,0.0,0.0,1.0,0.0,15.0,5.0,10.0,2592579.0,111.0,4.0,6,1,16,0
YDM6963,2010-01-04,4,1,1,0.0,0.0,3.0,1.0,3.0,0.0,4.0,1246309.0,117.0,2.0,3,0,7,0
YIO5206,2010-01-04,1,0,2,0.0,0.0,2.0,1.0,3.0,1.0,3.0,1123749.0,65.0,2.0,3,0,26,0
YLE8326,2010-01-04,2,0,1,1.0,0.0,2.0,2.0,2.0,1.0,3.0,836752.0,33.0,1.0,4,2,9,0
YNX1016,2010-01-04,1,0,1,0.0,0.0,1.0,1.0,9.0,4.0,6.0,2062653.0,120.0,1.0,0,6,27,0
YST5811,2010-01-04,2,1,1,0.0,0.0,0.0,0.0,9.0,5.0,5.0,2001262.0,103.0,1.0,5,0,2,0
ZDH5063,2010-01-04,2,2,1,0.0,0.0,7.0,4.0,4.0,1.0,5.0,937009.0,65.0,2.0,10,2,7,0
ZFG0374,2010-01-04,1,0,1,0.0,0.0,4.0,2.0,9.0,0.0,10.0,2607738.0,94.0,3.0,3,0,24,0
ZFH4085,2010-01-04,4,2,1,0.0,0.0,2.0,2.0,2.0,0.0,3.0,411539.0,93.0,3.0,3,6,26,0
ZHD4885,2010-01-04,2,0,2,0.0,0.0,4.0,2.0,14.0,6.0,14.0,3216974.0,70.0,3.0,6,4,19,0
ZIF9528,2010-01-04,1,0,1,0.0,0.0,2.0,1.0,9.0,2.0,7.0,867222.0,38.0,0.0,3,5,16,0
ZPL3468,2010-01-04,6,4,1,0.0,0.0,1.0,1.0,3.0,1.0,5.0,627831.0,38.0,1.0,2,4,5,0
ZRK4063,2010-01-04,1,0,1,0.0,0.0,0.0,0.0,9.0,1.0,7.0,2475544.0,56.0,0.0,0,4,26,0
ZUI9718,2010-01-04,1,0,1,0.0,0.0,1.0,1.0,8.0,2.0,8.0,2137248.0,135.0,5.0,10,5,27,0
ZWA2339,2010-01-04,3,0,1,0.0,0.0,1.0,0.0,4.0,0.0,4.0,886898.0,42.0,0.0,1,0,26,0
ZWV4627,2010-01-04,2,0,1,0.0,0.0,1.0,0.0,15.0,5.0,19.0,5723843.0,38.0,0.0,2,6,19,0
ADB8311,2010-01-05,1,1,2,0.0,0.0,0.0,0.0,13.0,1.0,9.0,2631677.0,125.0,3.0,8,0,8,0
ADG1145,2010-01-05,1,0,1,2.0,0.0,1.0,1.0,8.0,2.0,7.0,2262266.0,33.0,1.0,7,0,27,0
ASC7389,2010-01-05,2,1,2,0.0,0.0,1.0,0.0,5.0,0.0,5.0,1770122.0,106.0,1.0,4,1,25,0
ATM7194,2010-01-05,1,0,1,1.0,0.0,0.0,0.0,14.0,6.0,18.0,3497262.0,32.0,2.0,3,1,8,0
AUI6616,2010-01-05,1,0,1,1.0,0.0,5.0,1.0,17.0,6.0,7.0,1480910.0,72.0,2.0,0,5,23,0
AYY2409,2010-01-05,1,1,1,0.0,0.0,0.0,0.0,11.0,2.0,10.0,2182077.0,132.0,8.0,10,5,7,0
AZE5960,2010-01-05,1,0,1,1.0,0.0,1.0,1.0,14.0,2.0,5.0,1550867.0,88.0,3.0,10,5,26,0
BFH3103,2010-01-05,1,0,1,0.0,0.0,4.0,1.0,6.0,3.0,1.0,556122.0,107.0,3.0,6,4,26,0
BMU1894,2010-01-05,2,0,1,0.0,0.0,0.0,0.0,6.0,2.0,2.0,404457.0,56.0,0.0,0,3,5,0
BZL8931,2010-01-05,3,1,1,0.0,0.0,2.0,1.0,8.0,0.0,5.0,1411415.0,70.0,3.0,5,4,19,0
CCL9026,2010-01-05,2,2,1,0.0,0.0,3.0,1.0,6.0,0.0,2.0,577124.0,77.0,3.0,6,2,26,0
COU3039,2010-01-05,3,3,1,0.0,0.0,0.0,0.0,3.0,0.0,7.0,2592477.0,95.0,2.0,2,4,11,0
COX0638,2010-01-05,2,1,2,0.0,0.0,5.0,3.0,14.0,9.0,12.0,3011758.0,86.0,4.0,2,5,1,0
CQZ8674,2010-01-05,2,0,3,1.0,0.0,2.0,1.0,4.0,3.0,6.0,1459797.0,51.0,0.0,2,5,15,0
CUR4388,2010-01-05,3,0,1,0.0,0.0,2.0,0.0,11.0,3.0,5.0,1547295.0,45.0,1.0,8,4,9,0
CVC0519,2010-01-05,1,0,1,1.0,0.0,3.0,2.0,6.0,2.0,5.0,1755526.0,62.0,0.0,3,0,12,0
DHG6594,2010-01-05,1,1,1,0.0,0.0,0.0,0.0,9.0,1.0,6.0,1714402.0,58.0,3.0,8,5,19,0
DJY4258,2010-01-05,1,0,2,0.0,0.0,1.0,0.0,7.0,1.0,8.0,2415040.0,34.0,1.0,11,2,26,0
DLS2023,2010-01-05,3,4,1,0.0,0.0,4.0,3.0,16.0,1.0,12.0,3603797.0,109.0,7.0,7,5,0,0
DNM3159,2010-01-05,1,0,1,1.0,0.0,13.0,6.0,7.0,2.0,5.0,885749.0,77.0,2.0,11,3,15,0
DON7838,2010-01-05,2,0,1,0.0,0.0,2.0,1.0,2.0,1.0,4.0,759029.0,36.0,1.0,10,6,24,0
DOO3709,2010-01-05,1,0,1,0.0,0.0,0.0,0.0,4.0,1.0,3.0,455265.0,92.0,1.0,1,2,11,0
DPC6498,2010-01-05,2,0,2,0.0,0.0,7.0,2.0,15.0,1.0,11.0,3530608.0,102.0,4.0,11,6,26,0
DQV1058,2010-01-05,3,2,1,0.0,0.0,0.0,0.0,8.0,2.0,7.0,1673764.0,46.0,1.0,10,5,17,0
DXC7486,2010-01-05,2,1,1,0.0,0.0,1.0,1.0,9.0,4.0,6.0,1724551.0,35.0,1.0,10,2,21,0
DYK4823,2010-01-05,2,1,2,0.0,0.0,3.0,2.0,6.0,2.0,8.0,1625452.0,21.0,0.0,10,3,11,0
EEN0449,2010-01-05,3,1,1,0.0,0.0,0.0,0.0,7.0,2.0,5.0,1103243.0,37.0,3.0,10,3,3,0
EHP1536,2010-01-05,1,0,1,0.0,0.0,1.0,0.0,10.0,1.0,8.0,2038952.0,119.0,2.0,6,5,8,0
EIR1445,2010-01-05,2,2,1,0.0,0.0,0.0,0.0,7.0,2.0,7.0,1260817.0,133.0,5.0,3,4,11,0
ETS3545,2010-01-05,3,1,1,0.0,0.0,0.0,0.0,11.0,1.0,11.0,3571829.0,17.0,1.0,9,5,20,0
EYT8043,2010-01-05,1,0,1,0.0,0.0,3.0,1.0,6.0,0.0,4.0,1074588.0,92.0,1.0,7,2,1,0
FCN9756,2010-01-05,4,1,2,0.0,0.0,4.0,3.0,6.0,2.0,2.0,578465.0,39.0,1.0,11,3,26,0
GGB1397,2010-01-05,2,1,1,0.0,0.0,1.0,0.0,12.0,3.0,20.0,4533016.0,93.0,1.0,3,3,4,0
GGZ7460,2010-01-05,3,2,1,0.0,0.0,1.0,1.0,11.0,3.0,11.0,2391374.0,105.0,2.0,2,6,9,0
GHR6302,2010-01-05,2,0,1,0.0,0.0,0.0,0.0,5.0,1.0,4.0,1153836.0,72.0,1.0,11,2,9,0
GHU9488,2010-01-05,3,4,3,0.0,0.0,0.0,0.0,10.0,7.0,10.0,1920396.0,35.0,6.0,10,4,26,0
GRQ1397,2010-01-05,3,1,1,1.0,0.0,2.0,0.0,7.0,2.0,4.0,1338777.0,89.0,1.0,11,0,15,0
GUG7168,2010-01-05,4,2,2,0.0,0.0,1.0,0.0,7.0,3.0,10.0,3006539.0,137.0,8.0,7,5,1,0
GZI8020,2010-01-05,1,0,1,0.0,0.0,4.0,0.0,8.0,0.0,6.0,1185407.0,59.0,0.0,0,2,16,0
