logon_count,off_hours_logons,distinct_pcs,usb_connects,off_hours_usb,files_copied_to_usb,sensitive_files_to_usb,total_emails_sent,external_emails_sent,total_attachments,total_email_size,http_requests,cloud_job_visits,role_encoded,department_encoded,supervisor_encoded,user,day,is_insider,historical_events_proxy
2,0,1,0.0,0.0,0.0,0.0,9.0,6.0,6.0,289871.0,95.0,13.0,25,14,33,ARA0252,2010-06-18,0,402.0
1,0,1,0.0,0.0,0.0,0.0,9.0,0.0,0.0,346325.0,95.0,10.0,25,14,33,MHG0244,2010-10-15,0,764.0
2,0,1,0.0,0.0,0.0,0.0,13.0,1.0,7.0,363597.0,143.0,0.0,34,21,17,NWK0215,2010-12-06,0,1744.0
2,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,29235.0,10.0,0.0,30,12,1,MNC0717,2010-05-17,0,21.0
1,1,1,6.0,0.0,5.0,5.0,12.0,2.0,2.0,332544.0,114.0,1.0,1,5,38,AKR0057,2010-11-15,1,1587.0
1,0,1,2.0,0.0,0.0,0.0,15.0,10.0,5.0,429248.0,171.0,2.0,32,10,7,XHW0498,2010-08-23,1,1483.0
1,0,1,1.0,0.0,5.0,5.0,17.0,6.0,0.0,495201.0,168.0,2.0,32,10,7,KRL0501,2010-12-15,1,1814.0
1,1,1,0.0,0.0,0.0,0.0,3.0,2.0,0.0,110933.0,29.0,0.0,39,15,35,AGB0643,2010-12-14,0,588.0
1,0,1,0.0,0.0,0.0,0.0,11.0,7.0,4.0,348129.0,114.0,2.0,4,13,66,QNF0205,2010-11-18,0,993.0
1,0,1,0.0,0.0,0.0,0.0,9.0,5.0,0.0,268284.0,95.0,4.0,37,14,28,SGS0268,2010-02-19,0,104.0
1,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,32156.0,10.0,0.0,30,12,1,CJH0702,2010-11-16,0,73.0
2,1,1,0.0,0.0,0.0,0.0,10.0,2.0,4.0,268891.0,114.0,0.0,1,14,19,AJD0074,2010-07-18,0,854.0
1,0,1,0.0,0.0,0.0,0.0,14.0,0.0,0.0,424954.0,143.0,0.0,34,21,17,ASS0206,2010-04-01,0,378.0
1,0,1,0.0,0.0,0.0,0.0,9.0,1.0,0.0,232643.0,95.0,5.0,23,14,0,TEM0093,2010-04-23,0,291.0
1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,48179.0,10.0,0.0,30,12,54,CLS0296,2010-01-12,0,5.0
2,1,2,1.0,0.0,0.0,0.0,9.0,9.0,10.0,280834.0,95.0,0.0,35,11,39,VCC0396,2010-10-20,0,2006.0
1,0,1,0.0,0.0,0.0,0.0,16.0,0.0,16.0,472810.0,143.0,2.0,22,21,24,FAW0032,2010-07-15,1,650.0
2,0,1,1.0,0.0,0.0,0.0,14.0,9.0,13.0,408636.0,162.0,0.0,32,10,34,QOS0878,2010-04-09,0,510.0
3,3,1,0.0,0.0,0.0,0.0,9.0,7.0,4.0,291701.0,95.0,14.0,35,11,39,AIP0394,2010-08-10,0,683.0
1,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16009.0,10.0,0.0,30,12,4,GZB0469,2010-08-31,0,131.0
1,0,1,0.0,0.0,0.0,0.0,9.0,4.0,8.0,237291.0,95.0,0.0,35,11,14,RRA0938,2011-01-25,0,532.0
3,1,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,20215.0,10.0,0.0,30,12,54,KJJ0293,2010-11-24,0,520.0
1,1,1,0.0,0.0,0.0,0.0,14.0,3.0,3.0,444441.0,143.0,5.0,20,5,57,HIW0536,2011-05-03,0,2057.0
1,0,1,0.0,0.0,0.0,0.0,11.0,4.0,5.0,332556.0,114.0,0.0,16,6,10,FRB0023,2010-06-24,0,698.0
1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23746.0,12.0,0.0,30,12,54,PNL0301,2010-06-17,1,311.0
1,0,1,0.0,0.0,0.0,0.0,15.0,1.0,0.0,392468.0,162.0,0.0,32,10,7,CKB0482,2010-11-03,0,1535.0
3,2,1,0.0,0.0,0.0,0.0,3.0,2.0,5.0,88562.0,29.0,0.0,39,15,11,SED0886,2010-10-14,0,479.0
2,0,1,1.0,0.0,1.0,1.0,8.0,4.0,10.0,300726.0,90.0,0.0,24,5,41,MPT0376,2010-05-18,0,589.0
2,0,1,0.0,0.0,0.0,0.0,9.0,9.0,1.0,305995.0,95.0,3.0,25,14,33,TEB0251,2010-12-01,0,759.0
1,1,1,0.0,0.0,0.0,0.0,9.0,0.0,1.0,221722.0,95.0,0.0,40,14,49,OKC0107,2010-08-05,0,683.0
1,1,1,0.0,0.0,0.0,0.0,14.0,2.0,1.0,442677.0,143.0,0.0,22,11,59,JBM0350,2011-02-14,0,1846.0
1,1,1,0.0,0.0,0.0,0.0,3.0,1.0,1.0,73633.0,29.0,0.0,39,15,35,HTF0641,2010-08-30,0,360.0
1,1,1,0.0,0.0,0.0,0.0,3.0,1.0,0.0,97867.0,29.0,1.0,39,15,11,MFV0897,2011-03-09,0,644.0
2,0,1,3.0,0.0,6.0,5.0,9.0,1.0,3.0,269527.0,95.0,0.0,10,14,22,DMK0257,2010-10-06,0,1244.0
1,0,1,0.0,0.0,0.0,0.0,11.0,7.0,1.0,315029.0,114.0,0.0,1,14,0,LDB0090,2010-05-06,0,443.0
1,0,1,0.0,0.0,0.0,0.0,11.0,4.0,9.0,341281.0,114.0,0.0,1,22,58,GRC0145,2010-01-28,0,86.0
2,0,1,0.0,0.0,0.0,0.0,36.0,15.0,2.0,1091142.0,400.0,0.0,29,22,60,MSS0001,2010-06-01,0,1835.0
1,0,1,0.0,0.0,0.0,0.0,9.0,0.0,2.0,281463.0,95.0,1.0,6,11,56,DOP0562,2010-03-19,0,213.0
2,1,1,0.0,0.0,0.0,0.0,9.0,6.0,7.0,284884.0,95.0,2.0,35,11,51,IWM0816,2010-02-26,0,110.0
1,1,1,7.0,0.0,25.0,22.0,14.0,6.0,5.0,382901.0,143.0,0.0,22,11,59,VIA0063,2010-05-20,0,2636.0
2,0,1,2.0,0.0,4.0,4.0,1.0,1.0,0.0,50345.0,16.0,0.0,30,12,50,TNM0961,2010-10-15,1,438.0
1,0,1,0.0,0.0,0.0,0.0,15.0,11.0,0.0,400721.0,162.0,0.0,32,10,46,JOM0750,2010-05-19,0,722.0
1,1,1,0.0,0.0,0.0,0.0,9.0,0.0,0.0,310236.0,95.0,2.0,6,11,51,NKH0807,2011-03-31,0,1010.0
1,0,1,0.0,0.0,0.0,0.0,10.0,5.0,3.0,280945.0,95.0,0.0,33,5,52,ESJ0670,2010-10-09,0,2924.0
1,1,1,0.0,0.0,0.0,0.0,9.0,7.0,0.0,255051.0,95.0,0.0,24,5,38,UCS0227,2010-01-14,0,32.0
1,1,1,0.0,0.0,0.0,0.0,9.0,2.0,3.0,255157.0,95.0,0.0,26,20,2,KVT0028,2010-08-06,0,631.0
1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,34806.0,10.0,0.0,30,12,54,IJM0139,2010-04-30,0,80.0
2,0,1,2.0,0.0,12.0,11.0,1.0,0.0,0.0,26671.0,10.0,0.0,30,12,54,FEB0306,2011-01-27,0,1069.0
2,1,1,1.0,0.0,3.0,3.0,9.0,4.0,5.0,304117.0,95.0,2.0,18,1,30,KCO0122,2010-08-06,0,1555.0
1,1,1,2.0,0.0,3.0,3.0,1.0,0.0,0.0,23550.0,101.0,1.0,10,14,49,DIB0285,2010-08-18,1,941.0
2,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,25338.0,13.0,0.0,30,12,50,TNM0961,2010-10-29,1,473.0
2,0,1,2.0,0.0,26.0,22.0,9.0,1.0,1.0,301012.0,95.0,9.0,28,5,36,RRC0553,2010-02-20,0,861.0
2,0,1,0.0,0.0,0.0,0.0,15.0,2.0,0.0,428942.0,172.0,1.0,32,10,47,ABC0174,2010-10-28,1,2113.0
1,1,1,0.0,0.0,0.0,0.0,9.0,8.0,4.0,224597.0,95.0,4.0,35,11,39,FSB0399,2010-10-04,0,885.0
1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,4.0,16518.0,10.0,0.0,30,12,4,HDJ0446,2010-11-23,0,170.0
1,0,1,0.0,0.0,0.0,0.0,14.0,1.0,3.0,431952.0,143.0,0.0,34,21,17,JRG0207,2010-06-25,0,417.0
2,0,1,2.0,0.0,1.0,1.0,15.0,9.0,5.0,447661.0,162.0,0.0,32,10,47,BBG0325,2010-08-26,0,1127.0
2,1,2,2.0,0.0,7.0,6.0,1.0,0.0,0.0,32209.0,10.0,0.0,30,12,65,JHP0583,2010-07-13,0,802.0
2,0,1,1.0,0.0,6.0,6.0,10.0,8.0,4.0,350509.0,114.0,0.0,1,14,19,AJD0074,2010-02-18,0,187.0
1,1,1,0.0,0.0,0.0,0.0,14.0,1.0,9.0,376500.0,143.0,0.0,22,8,58,VMJ0147,2010-12-22,0,1542.0
1,0,1,0.0,0.0,0.0,0.0,6.0,3.0,6.0,209918.0,38.0,1.0,39,15,12,AAF0535,2010-07-09,1,328.0
3,1,2,1.0,1.0,0.0,0.0,9.0,0.0,3.0,273526.0,97.0,0.0,18,1,30,RHL0992,2010-07-15,1,861.0
2,0,1,0.0,0.0,0.0,0.0,14.0,3.0,13.0,409878.0,153.0,7.0,32,10,34,ATE0869,2011-02-17,0,3160.0
2,0,1,0.0,0.0,0.0,0.0,14.0,1.0,8.0,408141.0,162.0,0.0,32,10,46,RHO0732,2010-03-03,0,249.0
1,0,1,1.0,0.0,5.0,4.0,9.0,7.0,5.0,222895.0,101.0,4.0,11,13,66,JJM0203,2010-09-27,1,886.0
1,1,1,5.0,1.0,8.0,6.0,8.0,7.0,3.0,255555.0,95.0,1.0,35,11,39,IKR0401,2011-02-17,1,1724.0
2,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27559.0,9.0,0.0,30,12,54,CCM0136,2011-02-25,0,364.0
1,1,1,2.0,0.0,5.0,3.0,3.0,1.0,0.0,77846.0,31.0,5.0,39,15,35,CQW0652,2011-02-24,1,1254.0
1,0,1,1.0,0.0,0.0,0.0,3.0,2.0,3.0,86439.0,15.0,3.0,30,12,50,HXL0968,2010-09-20,1,425.0
2,0,1,0.0,0.0,0.0,0.0,13.0,3.0,7.0,390976.0,162.0,4.0,32,10,67,DMM0623,2011-03-11,0,1725.0
1,1,1,0.0,0.0,0.0,0.0,3.0,3.0,0.0,72162.0,29.0,4.0,39,15,29,POB0343,2010-03-23,0,121.0
1,1,1,0.0,0.0,0.0,0.0,3.0,1.0,2.0,95246.0,29.0,0.0,39,15,35,VLB0647,2010-04-05,0,124.0
1,0,1,7.0,0.0,3.0,3.0,15.0,8.0,0.0,436489.0,162.0,1.0,32,10,7,KRL0501,2011-01-06,1,1923.0
1,0,1,0.0,0.0,0.0,0.0,15.0,10.0,7.0,474215.0,162.0,0.0,32,10,46,CQH0730,2010-05-11,0,317.0
1,0,1,0.0,0.0,0.0,0.0,9.0,7.0,5.0,265524.0,95.0,0.0,6,11,56,DAG0558,2010-09-03,0,797.0
2,1,1,1.0,0.0,5.0,5.0,1.0,0.0,0.0,33176.0,10.0,0.0,30,12,65,GCS0571,2010-04-20,0,204.0
1,0,1,0.0,0.0,0.0,0.0,4.0,2.0,0.0,133217.0,30.0,0.0,39,15,12,IIL0513,2010-12-12,0,450.0
1,1,1,0.0,0.0,0.0,0.0,9.0,2.0,1.0,263205.0,95.0,0.0,28,5,38,ENC0234,2010-07-29,0,517.0
2,0,1,0.0,0.0,0.0,0.0,1.0,0.0,3.0,21391.0,10.0,0.0,30,12,1,CQH0701,2010-10-26,0,224.0
1,1,1,0.0,0.0,0.0,0.0,8.0,7.0,2.0,281258.0,95.0,0.0,25,14,49,ESH0283,2010-06-22,0,1277.0
1,1,1,0.0,0.0,0.0,0.0,9.0,3.0,3.0,256675.0,95.0,3.0,18,1,30,HOB0994,2011-04-14,0,1466.0
2,0,2,2.0,0.0,3.0,3.0,9.0,3.0,10.0,234910.0,162.0,0.0,32,10,67,JJH0613,2010-02-17,0,239.0
1,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,24046.0,10.0,0.0,30,12,54,IJM0139,2010-01-29,0,17.0
1,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,37063.0,10.0,0.0,30,12,1,BTL0722,2010-01-28,0,8.0
1,0,1,2.0,0.0,1.0,1.0,3.0,3.0,0.0,76668.0,30.0,1.0,39,15,12,AAF0535,2010-07-23,1,359.0
2,0,1,0.0,0.0,0.0,0.0,9.0,4.0,7.0,277809.0,95.0,2.0,6,11,56,WIQ0567,2010-03-05,0,346.0
1,1,1,5.0,2.0,5.0,5.0,1.0,1.0,1.0,38490.0,20.0,3.0,30,12,65,MDH0580,2011-02-01,1,858.0
1,1,1,0.0,0.0,0.0,0.0,3.0,2.0,0.0,63677.0,29.0,0.0,39,15,11,EGK0893,2010-07-12,0,286.0
1,1,1,2.0,0.0,5.0,4.0,9.0,0.0,11.0,283801.0,96.0,10.0,35,11,39,IKR0401,2011-01-20,1,1583.0
1,1,1,0.0,0.0,0.0,0.0,3.0,0.0,6.0,72634.0,29.0,1.0,39,15,11,LJJ0905,2010-04-01,0,124.0
5,6,5,0.0,0.0,0.0,0.0,11.0,7.0,2.0,326534.0,114.0,24.0,17,21,26,KRV0372,2010-05-19,0,976.0
2,2,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,36277.0,12.0,1.0,30,12,50,MAR0955,2011-02-11,1,167.0
1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,53583.0,10.0,0.0,30,12,3,LJB0826,2010-12-07,0,298.0
1,0,1,8.0,0.0,19.0,15.0,3.0,0.0,0.0,90407.0,29.0,0.0,39,15,9,CLB0774,2010-09-09,0,3586.0
1,0,1,0.0,0.0,0.0,0.0,15.0,13.0,0.0,479372.0,162.0,0.0,32,10,7,CJC0494,2010-03-23,0,245.0
2,0,1,2.0,0.0,0.0,0.0,1.0,1.0,0.0,69957.0,11.0,0.0,30,12,50,TNM0961,2010-10-26,1,469.0
1,1,1,0.0,0.0,0.0,0.0,9.0,3.0,0.0,313840.0,95.0,0.0,27,20,2,DLH0029,2010-06-23,0,508.0
1,0,1,0.0,0.0,0.0,0.0,3.0,2.0,6.0,93483.0,29.0,0.0,39,15,9,JSA0775,2011-04-14,0,512.0
1,1,1,2.0,0.0,2.0,2.0,3.0,2.0,4.0,95927.0,16.0,5.0,30,12,65,MDH0580,2011-01-17,1,810.0
1,0,1,0.0,0.0,0.0,0.0,18.0,11.0,2.0,558814.0,190.0,0.0,5,14,19,CNE0352,2010-07-06,0,722.0
1,0,1,4.0,0.0,2.0,2.0,1.0,1.0,0.0,24548.0,18.0,2.0,30,12,1,RAR0725,2010-07-22,1,299.0
2,1,1,7.0,1.0,7.0,5.0,11.0,5.0,2.0,344605.0,114.0,1.0,1,5,38,AKR0057,2010-11-29,1,1655.0
1,0,1,1.0,0.0,0.0,0.0,3.0,1.0,0.0,110097.0,29.0,2.0,39,15,9,CFM0767,2011-04-04,0,1030.0
1,0,1,0.0,0.0,0.0,0.0,12.0,7.0,4.0,345376.0,97.0,4.0,7,11,61,CCL0068,2011-01-11,1,1433.0
1,0,1,0.0,0.0,0.0,0.0,9.0,1.0,11.0,258261.0,95.0,0.0,40,14,15,BSH0445,2011-04-12,0,1119.0
2,1,1,3.0,0.0,4.0,3.0,9.0,5.0,1.0,243165.0,103.0,2.0,18,1,30,RHL0992,2010-07-16,1,863.0
1,1,1,0.0,0.0,0.0,0.0,3.0,1.0,0.0,81066.0,29.0,0.0,39,15,35,BAM0636,2010-03-10,0,83.0
1,1,1,0.0,0.0,0.0,0.0,9.0,0.0,4.0,241843.0,95.0,0.0,25,7,27,MCD0125,2010-03-08,0,406.0
2,0,1,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,100.0,0.0,33,5,57,FKK0055,2011-05-15,0,2450.0
2,0,1,1.0,0.0,8.0,8.0,16.0,2.0,25.0,478653.0,162.0,0.0,32,10,47,NAF0326,2010-02-10,0,307.0
1,0,1,0.0,0.0,0.0,0.0,15.0,1.0,12.0,347906.0,162.0,0.0,32,10,7,DDA0476,2010-05-24,0,438.0
1,0,1,0.0,0.0,0.0,0.0,14.0,0.0,0.0,507400.0,143.0,0.0,22,10,21,MAW0166,2010-12-22,0,924.0
1,0,1,0.0,0.0,0.0,0.0,8.0,2.0,0.0,233843.0,95.0,0.0,10,14,22,KBL0260,2011-02-02,0,1233.0
1,0,1,0.0,0.0,0.0,0.0,26.0,21.0,15.0,751428.0,285.0,2.0,41,22,48,BTW0005,2010-09-01,0,1985.0
1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21327.0,10.0,0.0,30,12,3,ILC0838,2010-12-03,0,321.0
5,8,5,0.0,0.0,0.0,0.0,11.0,2.0,0.0,333298.0,114.0,10.0,17,21,26,SOB0360,2010-08-16,0,1471.0
1,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,38971.0,10.0,0.0,30,12,4,AAV0450,2010-11-19,0,216.0
1,1,1,0.0,0.0,0.0,0.0,9.0,0.0,0.0,329023.0,95.0,1.0,6,11,51,BBH0810,2010-04-29,0,366.0
3,3,1,0.0,0.0,0.0,0.0,9.0,0.0,5.0,233240.0,95.0,3.0,35,11,39,AIP0394,2010-09-16,0,824.0
1,0,1,0.0,0.0,0.0,0.0,3.0,2.0,1.0,120943.0,29.0,0.0,39,15,9,TYB0779,2011-03-01,0,247.0
1,1,1,0.0,0.0,0.0,0.0,9.0,2.0,1.0,261278.0,95.0,1.0,35,11,39,FSB0399,2011-02-22,0,1351.0
1,1,1,0.0,0.0,0.0,0.0,10.0,1.0,12.0,265433.0,114.0,0.0,1,1,30,COF0120,2010-07-20,0,585.0
1,0,1,7.0,0.0,3.0,3.0,1.0,0.0,0.0,29381.0,10.0,1.0,30,12,54,PSF0133,2010-09-16,1,550.0
2,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,38903.0,10.0,1.0,30,12,50,WRM0963,2010-02-11,0,12.0
1,0,1,0.0,0.0,0.0,0.0,9.0,1.0,0.0,298952.0,95.0,1.0,10,14,22,ZSK0258,2010-10-29,0,749.0
1,1,1,0.0,0.0,0.0,0.0,9.0,2.0,6.0,284857.0,95.0,0.0,33,5,38,NNS0059,2010-02-09,0,121.0
4,4,4,0.0,0.0,0.0,0.0,11.0,0.0,4.0,357705.0,114.0,0.0,17,21,25,ACC0042,2011-02-10,0,2482.0
1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27051.0,10.0,0.0,30,12,3,PTH0830,2010-11-24,0,398.0
2,1,1,0.0,0.0,0.0,0.0,10.0,4.0,12.0,268958.0,95.0,3.0,28,5,45,JMC0925,2011-03-11,0,1259.0
1,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,32226.0,10.0,0.0,30,12,3,ARB0834,2010-06-01,0,163.0
1,0,1,0.0,0.0,0.0,0.0,3.0,1.0,0.0,106999.0,29.0,0.0,39,15,12,CCW0524,2010-07-23,0,149.0
1,0,1,0.0,0.0,0.0,0.0,15.0,13.0,0.0,444851.0,162.0,1.0,32,10,47,MCF0327,2010-02-03,0,131.0
6,6,6,0.0,0.0,0.0,0.0,10.0,8.0,1.0,294033.0,114.0,8.0,17,21,26,BKW0374,2010-05-10,0,761.0
2,0,1,3.0,0.0,0.0,0.0,15.0,5.0,6.0,497188.0,153.0,0.0,32,10,46,GZC0735,2010-06-17,0,584.0
1,0,1,0.0,0.0,0.0,0.0,9.0,1.0,8.0,253614.0,95.0,0.0,40,14,15,BSH0445,2010-03-25,0,193.0
2,0,1,0.0,0.0,0.0,0.0,13.0,7.0,13.0,413490.0,143.0,2.0,22,11,59,SBH0537,2010-10-22,0,1587.0
1,0,1,0.0,0.0,0.0,0.0,15.0,12.0,0.0,464090.0,162.0,0.0,32,10,46,MHG0733,2010-04-15,0,425.0
1,0,1,0.0,0.0,0.0,0.0,8.0,1.0,0.0,242619.0,95.0,0.0,7,14,28,EHR0096,2010-11-16,0,774.0
1,1,1,0.0,0.0,0.0,0.0,8.0,2.0,6.0,208814.0,95.0,0.0,33,5,45,FIR0920,2011-03-08,0,1153.0
1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36516.0,29.0,0.0,39,15,9,SLP0762,2011-04-13,0,416.0
1,0,1,6.0,0.0,27.0,23.0,15.0,8.0,11.0,439799.0,170.0,0.0,32,10,34,THR0873,2010-12-30,0,7203.0
2,1,1,0.0,0.0,0.0,0.0,3.0,1.0,1.0,75754.0,27.0,0.0,39,15,29,NOB0181,2010-10-09,0,1435.0
1,0,1,1.0,0.0,5.0,5.0,1.0,1.0,0.0,25661.0,10.0,0.0,30,12,1,PDH0716,2010-07-20,0,649.0
2,0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,29178.0,10.0,0.0,30,12,50,ILH0958,2011-03-22,0,2464.0
1,0,1,0.0,0.0,0.0,0.0,11.0,0.0,1.0,335680.0,114.0,0.0,1,5,57,CIG0052,2010-03-04,0,141.0
1,0,1,0.0,0.0,0.0,0.0,9.0,3.0,0.0,269492.0,90.0,5.0,6,11,61,DRR0242,2011-03-12,0,1381.0
1,0,1,6.0,0.0,9.0,7.0,1.0,0.0,0.0,20697.0,10.0,0.0,30,12,1,RAR0725,2010-08-09,1,327.0
2,0,1,1.0,0.0,4.0,4.0,9.0,6.0,0.0,274962.0,90.0,10.0,25,14,33,BIS0247,2011-05-06,0,1563.0
1,0,1,1.0,0.0,3.0,2.0,14.0,4.0,5.0,405560.0,171.0,3.0,32,10,67,FSC0601,2011-01-21,1,2008.0
