employee_code,full_name,department_name,login_time,failed_logins,vpn_usage,login_frequency,file_downloads,file_uploads,cloud_uploads,usb_usage,data_transfer_size,email_count,website_visits,database_access,privilege_escalation,external_storage_usage,device_changes,working_hours,session_duration,location,department,employee_role
SYN-022,Synthetic Employee 22,Finance,10,1,7,1.76,6,7,0,0,11,93,230,3,0,0,1,0.05,487,1,1,2
SYN-023,Synthetic Employee 23,Legal,9,0,2,1.19,6,10,1,0,70,80,175,8,0,0,1,0.04,356,1,1,2
SYN-024,Synthetic Employee 24,Finance,8,0,3,1.5,20,2,1,0,55,69,391,5,0,0,1,0.02,202,1,1,2
SYN-025,Synthetic Employee 25,Engineering,9,0,3,1.27,25,4,3,0,41,100,264,3,0,0,1,0.06,497,1,1,2
SYN-026,Synthetic Employee 26,HR,9,1,6,1.23,14,6,2,0,76,158,180,3,0,0,1,0.06,205,1,1,2
SYN-027,Synthetic Employee 27,Sales,8,1,3,1.25,19,9,1,0,26,76,141,7,0,0,1,0.07,402,1,1,2
SYN-028,Synthetic Employee 28,Engineering,20,4,44,2.76,156,77,22,1,2389,663,815,52,0,2,2,0.41,1369,2,2,3
SYN-029,Synthetic Employee 29,Legal,2,10,71,7.28,298,146,85,8,6759,1341,1495,138,2,10,5,0.5,3904,3,5,5
SYN-030,Synthetic Employee 30,Legal,10,0,5,1.88,15,3,3,0,95,162,281,1,0,0,1,0.06,378,1,1,2
SYN-031,Synthetic Employee 31,Sales,8,0,6,1.35,15,3,0,0,20,169,293,5,0,0,1,0.03,311,1,1,2
SYN-032,Synthetic Employee 32,Finance,2,29,196,9.03,518,500,194,18,10361,1865,2917,314,7,28,13,0.88,6528,4,5,8
SYN-033,Synthetic Employee 33,IT Security,9,0,7,1.67,21,5,3,0,17,56,257,6,0,0,1,0.08,300,1,1,2
SYN-034,Synthetic Employee 34,Finance,9,0,2,1.97,14,3,2,0,78,119,177,6,0,0,1,0.01,313,1,1,2
SYN-035,Synthetic Employee 35,Finance,18,7,25,3.07,154,55,12,4,1201,688,550,55,1,4,4,0.44,1544,2,2,3
SYN-036,Synthetic Employee 36,Sales,18,7,28,3.02,150,60,34,1,1357,401,578,31,0,4,2,0.27,1333,2,2,3
SYN-037,Synthetic Employee 37,Finance,4,19,78,5.47,297,204,69,6,7143,964,1290,185,4,7,4,0.69,3139,3,5,5
SYN-038,Synthetic Employee 38,Engineering,19,5,44,3.97,87,55,11,2,1363,639,771,76,0,2,2,0.29,886,2,2,3
SYN-039,Synthetic Employee 39,Legal,21,4,38,2.85,147,69,20,1,2067,350,763,31,1,2,4,0.38,1480,2,2,3
SYN-040,Synthetic Employee 40,Legal,10,0,5,1.53,22,9,0,0,33,77,330,3,0,0,1,0.08,559,1,1,2
SYN-041,Synthetic Employee 41,Finance,0,18,118,7.0,201,116,59,8,4866,1043,1494,121,2,5,5,0.65,3018,3,5,5
SYN-042,Synthetic Employee 42,Sales,10,1,2,1.94,16,3,1,0,50,125,191,1,0,0,1,0.05,427,1,1,2
SYN-043,Synthetic Employee 43,Finance,20,7,27,4.1,84,37,32,1,649,371,996,70,1,3,4,0.26,1622,2,2,3
SYN-044,Synthetic Employee 44,Engineering,5,12,101,6.39,327,155,81,9,6637,915,1500,184,2,10,7,0.64,2973,3,5,5
SYN-045,Synthetic Employee 45,HR,10,0,3,1.63,18,6,0,0,80,108,200,1,0,0,1,0.02,445,1,1,2
SYN-046,Synthetic Employee 46,HR,22,7,34,2.72,138,47,21,3,1018,515,625,56,1,2,4,0.39,1753,2,2,3
SYN-047,Synthetic Employee 47,Engineering,22,4,35,2.96,132,78,29,4,864,631,992,51,1,2,4,0.26,1770,2,2,3
SYN-048,Synthetic Employee 48,Legal,2,13,87,6.3,227,132,51,12,3536,1086,1142,237,3,9,8,0.52,2433,3,5,5
SYN-049,Synthetic Employee 49,HR,10,0,1,1.18,20,3,1,0,12,142,235,5,0,0,1,0.07,452,1,1,2
SYN-050,Synthetic Employee 50,Engineering,1,17,110,6.16,305,119,52,9,5733,1392,1418,243,4,10,5,0.6,3997,3,5,5
