user,risk_level,weighted_score,Consensus_Percentage,Explanation
ATE0869,High,65.0,57.14,Detected by multiple anomaly detection models | High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days | Elevated behavioral anomaly score
MPM0220,High,65.0,57.14,Detected by multiple anomaly detection models | High after-hours activity | Excessive device activity | Frequent file access | Large volume of overall activity | Elevated behavioral anomaly score
JCC0225,High,60.0,57.14,Detected by multiple anomaly detection models | High web browsing activity | Large volume of overall activity | High number of active working days | Elevated behavioral anomaly score
HDD0806,High,60.0,57.14,Detected by multiple anomaly detection models | High after-hours activity | High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days | Elevated behavioral anomaly score
WPR0368,High,60.0,57.14,Detected by multiple anomaly detection models | High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days | Elevated behavioral anomaly score
BSS0369,Medium,55.0,57.14,Detected by multiple anomaly detection models | High after-hours activity | High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity
KKW0879,Medium,55.0,57.14,Detected by multiple anomaly detection models | High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
CAS0507,Medium,55.0,57.14,Detected by multiple anomaly detection models | Excessive device activity | Frequent file access | High number of active working days
HPH0075,Medium,50.0,42.86,High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
WIF0691,Medium,50.0,42.86,High after-hours activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
LBH0942,Medium,50.0,42.86,High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
HSB0196,Medium,50.0,42.86,High after-hours activity | High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
NAF0326,Medium,50.0,42.86,High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
GTD0219,Medium,50.0,42.86,Excessive device activity | Frequent file access
CCA0046,Medium,45.0,42.86,High after-hours activity | Excessive device activity | Frequent file access
HAD0246,Medium,45.0,42.86,High weekend activity | Excessive device activity | High web browsing activity | Large volume of overall activity | High number of active working days
AJR0319,Medium,45.0,42.86,High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
KBP0008,Medium,45.0,42.86,High web browsing activity | Large volume of overall activity | High number of active working days
TVS0006,Medium,45.0,42.86,High web browsing activity | Large volume of overall activity | High number of active working days
NWK0215,Medium,45.0,42.86,High after-hours activity | High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
DMG0358,Medium,45.0,42.86,High web browsing activity | Large volume of overall activity | High number of active working days
MSS0001,Medium,45.0,42.86,High web browsing activity | Large volume of overall activity | High number of active working days
ESJ0670,Medium,45.0,42.86,High weekend activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
JDC0030,Medium,45.0,42.86,High after-hours activity | High weekend activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
HCS0003,Medium,45.0,42.86,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
AIP0982,Medium,40.0,42.86,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
MSO0222,Medium,40.0,42.86,No significant behavioral anomalies detected
GTD0116,Medium,40.0,42.86,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
SBN0866,Medium,40.0,42.86,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
MLL0598,Medium,40.0,42.86,Excessive device activity | High number of active working days
IIW0249,Medium,40.0,42.86,High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
DFH0188,Medium,40.0,42.86,Excessive device activity | Frequent file access | High number of active working days
JDF0593,Medium,40.0,42.86,High after-hours activity | Excessive device activity | High number of active working days
XWD0923,Medium,40.0,42.86,High after-hours activity | Excessive device activity | Frequent file access | Large volume of overall activity
BAJ0654,Medium,40.0,42.86,High after-hours activity | Frequent file access | High number of active working days
AVM0947,Medium,35.0,28.57,Excessive device activity | Frequent file access | High number of active working days
MOS0047,Medium,35.0,28.57,High after-hours activity | Excessive device activity | Frequent file access
CLB0774,Medium,35.0,28.57,Excessive device activity | Frequent file access | High number of active working days
THR0873,Medium,35.0,28.57,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
BJM0111,Medium,35.0,28.57,High after-hours activity | High weekend activity | Excessive device activity | Frequent file access | High number of active working days
MOH0273,Medium,35.0,28.57,High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
BMG0917,Medium,35.0,28.57,High after-hours activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
LBC0356,Medium,30.0,28.57,High web browsing activity | Large volume of overall activity | High number of active working days
UIR0043,Medium,30.0,28.57,High web browsing activity | Large volume of overall activity | High number of active working days
HRB0351,Medium,30.0,28.57,High weekend activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
COF0120,Medium,30.0,28.57,High after-hours activity | High web browsing activity | Large volume of overall activity
BTW0005,Medium,30.0,28.57,High web browsing activity | Large volume of overall activity | High number of active working days
IRM0931,Medium,30.0,28.57,High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
DAR0885,Medium,30.0,28.57,No significant behavioral anomalies detected
RZC0746,Medium,30.0,28.57,High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
JGT0221,Medium,30.0,28.57,No significant behavioral anomalies detected
NAH0503,Medium,30.0,28.57,High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
EHB0420,Medium,30.0,28.57,High after-hours activity | High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
JDB0169,Medium,30.0,28.57,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
YIC0195,Medium,30.0,28.57,High after-hours activity | High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
BRS0734,Medium,30.0,28.57,High weekend activity | Frequent file access
LIM0674,Medium,30.0,28.57,High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
WIQ0567,Medium,30.0,28.57,High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
KWC0004,Medium,30.0,28.57,High web browsing activity | Large volume of overall activity | High number of active working days
CMB0912,Medium,30.0,28.57,High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
SSJ0784,Medium,30.0,28.57,High weekend activity | High number of active working days
HTH0007,Medium,30.0,28.57,High web browsing activity | Large volume of overall activity | High number of active working days
BJP0134,Medium,30.0,28.57,Excessive device activity | Frequent file access | High number of active working days
ACV0812,Medium,30.0,28.57,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
FFC0891,Medium,30.0,28.57,Excessive device activity | Frequent file access
IBS0836,Medium,30.0,28.57,High after-hours activity | Excessive device activity | Frequent file access | High number of active working days
HCM0267,Medium,30.0,28.57,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
CTA0020,Low,25.0,28.57,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
KSP0357,Low,25.0,28.57,No significant behavioral anomalies detected
RSC0089,Low,25.0,28.57,High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
AIB0948,Low,25.0,28.57,Excessive device activity | Frequent file access | High number of active working days
FUM0015,Low,25.0,28.57,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
KCO0122,Low,25.0,28.57,High after-hours activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
VTT0385,Low,25.0,28.57,Excessive device activity | High web browsing activity | Large volume of overall activity | High number of active working days
SOB0360,Low,25.0,28.57,No significant behavioral anomalies detected
SGG0787,Low,25.0,28.57,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
JBD0616,Low,25.0,28.57,Excessive device activity | High web browsing activity | Large volume of overall activity | High number of active working days
LCB0664,Low,25.0,28.57,Excessive device activity | High web browsing activity | Large volume of overall activity | High number of active working days
CBB0365,Low,25.0,28.57,High web browsing activity | Large volume of overall activity | High number of active working days
HWY0038,Low,15.0,14.29,No significant behavioral anomalies detected
JNA0559,Low,15.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
CRK0916,Low,15.0,14.29,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
SRH0155,Low,15.0,14.29,High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
CSC0217,Low,15.0,14.29,No significant behavioral anomalies detected
FGW0853,Low,15.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
WKD0013,Low,15.0,14.29,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
PMJ0564,Low,15.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
JTM0223,Low,15.0,14.29,No significant behavioral anomalies detected
LRR0148,Low,15.0,14.29,High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
BAM0636,Low,15.0,14.29,High after-hours activity | High number of active working days
BBS0039,Low,15.0,14.29,No significant behavioral anomalies detected
AIP0394,Low,15.0,14.29,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
DBB0384,Low,15.0,14.29,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
CHM0821,Low,15.0,14.29,High after-hours activity | Excessive device activity | Frequent file access | High number of active working days
LPH0572,Low,15.0,14.29,No significant behavioral anomalies detected
IMB0481,Low,15.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
ABC0174,Low,15.0,14.29,High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity
AMW0392,Low,15.0,14.29,High after-hours activity | High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
BVC0790,Low,15.0,14.29,High after-hours activity | High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
EDA0684,Low,15.0,14.29,No significant behavioral anomalies detected
HRD0635,Low,15.0,14.29,No significant behavioral anomalies detected
CTR0341,Low,15.0,14.29,High after-hours activity | High weekend activity | High number of active working days
FKK0055,Low,15.0,14.29,High weekend activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
XHG0902,Low,15.0,14.29,High number of active working days
BIH0745,Low,15.0,14.29,No significant behavioral anomalies detected
DGW0752,Low,15.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
RHL0992,Low,15.0,14.29,High after-hours activity | Excessive device activity
RAW0915,Low,15.0,14.29,High after-hours activity | High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
AMM0014,Low,15.0,14.29,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
ZKS0899,Low,15.0,14.29,High after-hours activity | Excessive device activity | Frequent file access | High number of active working days
VIA0063,Low,15.0,14.29,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
JNJ0556,Low,15.0,14.29,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
HBO0413,Low,15.0,14.29,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity
TDS0984,Low,15.0,14.29,High weekend activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
QRM0739,Low,15.0,14.29,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
SBK0161,Low,15.0,14.29,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
MLM0950,Low,15.0,14.29,High weekend activity | Excessive device activity | Frequent file access | High number of active working days
PEV0323,Low,15.0,14.29,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
ATP0662,Low,15.0,14.29,High after-hours activity | High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
KLH0596,Low,15.0,14.29,No significant behavioral anomalies detected
NGC0058,Low,15.0,14.29,High after-hours activity | High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
PID0426,Low,15.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
WDO0870,Low,15.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
BRB0355,Low,15.0,14.29,High weekend activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
GZC0735,Low,15.0,14.29,High weekend activity | Excessive device activity | High web browsing activity | Large volume of overall activity | High number of active working days
RLB0719,Low,15.0,14.29,High number of active working days
RTO0313,Low,15.0,14.29,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
JMC0925,Low,15.0,14.29,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
RKD0604,Low,15.0,14.29,No significant behavioral anomalies detected
CJM0521,Low,15.0,14.29,High weekend activity | High number of active working days
RKF0164,Low,15.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
DID0650,Low,15.0,14.29,High after-hours activity | High number of active working days
TVS0050,Low,15.0,14.29,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
BJH0811,Low,15.0,14.29,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
HVB0037,Low,15.0,14.29,High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
BAH0875,Low,15.0,14.29,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
ANM0123,Low,15.0,14.29,No significant behavioral anomalies detected
MVH0373,Low,15.0,14.29,No significant behavioral anomalies detected
JCR0172,Low,15.0,14.29,High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
SAA0999,Low,15.0,14.29,High after-hours activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
BQS0525,Low,15.0,14.29,High weekend activity | Excessive device activity
MDH0686,Low,15.0,14.29,High after-hours activity | High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
LDD0560,Low,15.0,14.29,High weekend activity
VCC0396,Low,15.0,14.29,High after-hours activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
DCH0843,Low,15.0,14.29,No significant behavioral anomalies detected
MDM0625,Low,15.0,14.29,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
CSH0626,Low,15.0,14.29,High after-hours activity | High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
JBM0350,Low,15.0,14.29,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
AHG0634,Low,15.0,14.29,High after-hours activity
DPS0262,Low,15.0,14.29,No significant behavioral anomalies detected
CGB0637,Low,15.0,14.29,High after-hours activity | Excessive device activity | Frequent file access | High number of active working days
CRD0624,Low,15.0,14.29,No significant behavioral anomalies detected
LJT0817,Low,15.0,14.29,High after-hours activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
KCF0045,Low,10.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
JAV0361,Low,10.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
JLM0364,Low,10.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
ACC0042,Low,10.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
SAK0375,Low,10.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
TSM0363,Low,10.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
KRV0372,Low,10.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
MSH0040,Low,10.0,14.29,High web browsing activity | Large volume of overall activity
WDD0366,Low,10.0,14.29,High web browsing activity | Large volume of overall activity
KJP0371,Low,10.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
BKW0374,Low,10.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
QNP0216,Low,10.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
JRS0362,Low,10.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
MNS0224,Low,10.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
DFR0218,Low,10.0,14.29,High web browsing activity | Large volume of overall activity | High number of active working days
KRL0501,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity
CAB0614,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
MMG0943,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
EWH0191,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
BJW0619,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
ABM0845,Low,0.0,0.0,High number of active working days
NDM0417,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
CUD0795,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
CKP0721,Low,0.0,0.0,High number of active working days
TMA0069,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
CQH0701,Low,0.0,0.0,High number of active working days
RNF0765,Low,0.0,0.0,High number of active working days
NMB0972,Low,0.0,0.0,High number of active working days
JRG0207,Low,0.0,0.0,High web browsing activity | Large volume of overall activity
CIM0271,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
NMC0486,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
CCM0467,Low,0.0,0.0,High number of active working days
CNE0352,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
LNR0656,Low,0.0,0.0,High after-hours activity | High number of active working days
HRW0550,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
RHC0335,Low,0.0,0.0,High number of active working days
KBS0874,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
LHB0967,Low,0.0,0.0,High number of active working days
DGN0480,Low,0.0,0.0,High web browsing activity | Large volume of overall activity
BLB0114,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
LOM0086,Low,0.0,0.0,Excessive device activity
UFK0208,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
ARB0881,Low,0.0,0.0,High number of active working days
AKK0329,Low,0.0,0.0,High number of active working days
DBG0261,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
NAB0801,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
RAR0725,Low,0.0,0.0,Excessive device activity
SOG0411,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
XRS0633,Low,0.0,0.0,High after-hours activity | High number of active working days
GCL0016,Low,0.0,0.0,High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
RDM0150,Low,0.0,0.0,High number of active working days
MJS0890,Low,0.0,0.0,High number of active working days
DIW0118,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
KBC0054,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
FTM0406,Low,0.0,0.0,No significant behavioral anomalies detected
RDM0115,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
HSG0818,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
BSA0431,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
SAC0687,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
USH0199,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
KES0729,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
EDB0714,Low,0.0,0.0,Excessive device activity | Frequent file access
TJB0302,Low,0.0,0.0,High number of active working days
CQH0730,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
QCH0110,Low,0.0,0.0,No significant behavioral anomalies detected
HSD0457,Low,0.0,0.0,High number of active working days
KPP0452,Low,0.0,0.0,High number of active working days
NAF0033,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
PNL0301,Low,0.0,0.0,Excessive device activity
SIJ0661,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
SNC0187,Low,0.0,0.0,Frequent file access
DDM0579,Low,0.0,0.0,High number of active working days
CPG0322,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
EGD0409,Low,0.0,0.0,No significant behavioral anomalies detected
AHD0848,Low,0.0,0.0,High after-hours activity | High number of active working days
MYD0978,Low,0.0,0.0,High web browsing activity
CJG0470,Low,0.0,0.0,High number of active working days
KMB0922,Low,0.0,0.0,High after-hours activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
EGK0893,Low,0.0,0.0,High number of active working days
NCH0179,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
BBS0422,Low,0.0,0.0,High after-hours activity | High weekend activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
HDL0748,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
MAS0025,Low,0.0,0.0,High web browsing activity
TSR0676,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
HJA0018,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
OLW0689,Low,0.0,0.0,High after-hours activity | Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
DMK0257,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
IEB0153,Low,0.0,0.0,High after-hours activity | High weekend activity | High number of active working days
HBB0056,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
ALD0529,Low,0.0,0.0,High number of active working days
ICH0294,Low,0.0,0.0,Excessive device activity | Frequent file access | High number of active working days
ASG0048,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
OLB0749,Low,0.0,0.0,No significant behavioral anomalies detected
PBP0002,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
GCS0518,Low,0.0,0.0,High number of active working days
DOP0562,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
HGG0240,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
JKM0303,Low,0.0,0.0,High number of active working days
HAV0121,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
QOS0878,Low,0.0,0.0,High weekend activity | Excessive device activity
ORG0339,Low,0.0,0.0,High number of active working days
TJD0996,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
CJM0138,Low,0.0,0.0,High number of active working days
HSP0290,Low,0.0,0.0,High number of active working days
SKG0759,Low,0.0,0.0,High number of active working days
KSP0966,Low,0.0,0.0,High number of active working days
GCG0951,Low,0.0,0.0,High number of active working days
MAR0955,Low,0.0,0.0,No significant behavioral anomalies detected
JMD0520,Low,0.0,0.0,Excessive device activity | Frequent file access | High number of active working days
NCE0097,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
OYM0026,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
RCC0617,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
RRC0553,Low,0.0,0.0,High weekend activity | Frequent file access
AAM0658,Low,0.0,0.0,High after-hours activity
EJW0884,Low,0.0,0.0,High number of active working days
NMG0766,Low,0.0,0.0,High number of active working days
BER0314,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
MCF0327,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
IRT0491,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
SAT0194,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
FQA0854,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
SCB0534,Low,0.0,0.0,High number of active working days
AKR0057,Low,0.0,0.0,High after-hours activity | Excessive device activity | Frequent file access
ZDW0859,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
OCB0805,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
HIA0414,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
NLO0131,Low,0.0,0.0,High number of active working days
HVF0067,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
LRW0970,Low,0.0,0.0,High number of active working days
SJW0451,Low,0.0,0.0,High number of active working days
AAF0791,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
CAN0842,Low,0.0,0.0,High number of active working days
ZSB0649,Low,0.0,0.0,High after-hours activity | High number of active working days
YJV0699,Low,0.0,0.0,High number of active working days
GMF0738,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
XAA0104,Low,0.0,0.0,High web browsing activity | Large volume of overall activity | High number of active working days
SOB0586,Low,0.0,0.0,High number of active working days
KNW0644,Low,0.0,0.0,High after-hours activity | High number of active working days
NGF0157,Low,0.0,0.0,High weekend activity | High web browsing activity | Large volume of overall activity | High number of active working days
MTB0620,Low,0.0,0.0,Excessive device activity | High web browsing activity | Frequent file access | Large volume of overall activity | High number of active working days
EMW0105,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
TSM0927,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
ASS0517,Low,0.0,0.0,High number of active working days
ECF0828,Low,0.0,0.0,No significant behavioral anomalies detected
NGO0690,Low,0.0,0.0,High after-hours activity | High web browsing activity | Large volume of overall activity | High number of active working days
EMW0772,Low,0.0,0.0,High number of active working days
SED0886,Low,0.0,0.0,High number of active working days
