user,total_events,active_days,unique_pcs,unique_sources,first_activity,last_activity,total_logins,midnight_activity,after_hours_activity,weekend_activity,device_events,file_events,unique_files,emails_sent,web_events,unique_urls,average_hour,earliest_hour,latest_hour,openness,conscientiousness,extraversion,agreeableness,neuroticism,risk_score,prediction
BVC0790,49212,438,3,5,2010-01-03 09:01:00,2011-05-16 18:21:00,1585,60,2896,9662,1749,975,975,3768,41135,181,13.378972608306917,0,23,24,18,18,36,38,0.5484280122763016,Normal
IRM0931,54501,479,2,5,2010-01-02 07:00:00,2011-05-17 06:23:48,1747,40,670,13976,1004,2278,2278,4157,45315,252,11.459422762885085,0,23,44,46,33,35,30,0.5481651328927684,Normal
JNJ0556,50542,346,1,5,2010-01-04 08:56:00,2011-05-16 18:00:00,691,0,751,0,5995,7977,7977,3009,32870,264,13.012722092517114,8,18,43,45,22,33,34,0.5479860797436225,Normal
CSC0217,14982,113,289,5,2010-01-04 02:32:51,2010-06-11 22:27:10,934,247,328,0,4,1,1,1158,12885,223,11.074422640501936,0,23,40,15,30,38,28,0.5466867233543881,Normal
JDF0593,12033,381,3,5,2010-01-04 08:26:00,2011-05-17 04:40:33,1313,60,1246,506,6296,403,403,351,3670,94,13.095570514418682,0,23,30,45,11,41,29,0.5461216011669132,Normal
XWD0923,33843,250,1,5,2010-01-04 08:20:00,2010-12-29 19:28:00,688,0,5654,0,1047,5915,5915,2443,23750,249,13.531276778063411,8,19,16,38,45,20,31,0.5433436807627011,Normal
KKW0879,75817,384,2,5,2010-01-04 07:40:00,2011-05-16 17:45:00,902,26,353,5420,6501,1534,1534,5158,61722,180,12.238574462191856,0,23,36,42,21,31,27,0.5423517995779027,Normal
JTM0223,18898,142,361,5,2010-01-04 00:24:51,2010-07-23 21:44:10,1378,308,415,0,4,1,1,1489,16026,217,11.089374536988041,0,23,35,48,20,21,30,0.5418099113029626,Normal
HWY0038,14348,108,285,3,2010-01-04 06:03:39,2010-06-04 23:17:23,898,215,298,0,0,0,0,1138,12312,218,11.036032896570951,0,23,47,39,40,22,24,0.5411248657341364,Normal
SOB0360,29980,226,479,3,2010-01-04 08:15:00,2010-11-19 23:01:58,1780,467,538,0,0,0,0,2436,25764,199,11.82374916611074,0,23,42,22,40,16,32,0.5395173026190191,Normal
DBB0384,51038,346,1,5,2010-01-04 07:56:00,2011-05-16 16:12:00,692,0,0,0,5932,8543,8543,3001,32870,165,11.563423331635253,7,16,40,41,28,37,27,0.5393252981386661,Normal
KSP0357,31404,237,519,3,2010-01-04 03:43:20,2010-12-08 20:42:02,1890,465,582,0,0,0,0,2496,27018,149,11.781715705005732,0,23,41,40,29,19,24,0.5393179096375448,Normal
MSS0001,150994,346,1,3,2010-01-04 07:57:00,2011-05-16 15:00:00,960,0,0,0,0,0,0,12034,138000,255,10.943653390200936,7,15,21,44,24,45,19,0.5362625367088839,Normal
AOK0844,7516,383,15,5,2010-01-02 08:20:00,2011-01-23 19:38:00,1186,17,1603,2263,809,1321,1321,370,3830,137,13.607503991484831,1,23,11,30,44,26,31,0.5326848172438415,Normal
VCC0396,40078,351,2,5,2010-01-04 07:51:00,2011-05-16 18:58:00,1138,48,5623,8,1433,1616,1616,3021,32870,363,13.16702430260991,0,23,21,45,16,37,23,0.5314588862146373,Normal
SBN0866,68458,348,1,5,2010-01-04 07:44:00,2011-05-16 17:45:00,744,27,501,3,751,5864,5864,5047,56052,243,12.334263343948114,0,23,41,34,41,24,22,0.531422836665821,Normal
NAH0503,70832,404,2,3,2010-01-02 08:13:00,2011-05-16 17:28:00,930,28,703,7528,0,0,0,5750,64152,370,12.372190535351253,0,23,33,17,23,35,38,0.5312714536538328,Normal
IBS0836,6300,384,3,5,2010-01-04 08:21:00,2011-05-16 19:30:00,1141,27,1373,489,774,624,624,359,3402,202,13.441269841269841,0,23,10,44,50,38,27,0.531054268773758,Normal
IIW0249,48625,399,21,5,2010-01-02 07:56:00,2011-05-16 16:55:00,870,26,260,4950,6735,473,473,3402,37145,337,12.053244215938303,0,23,39,36,43,38,28,0.5304188292640283,Normal
FFC0891,8789,199,2,5,2010-01-04 09:05:00,2010-10-08 18:08:00,745,22,624,5,833,961,961,566,5684,128,13.41563317783593,0,23,38,10,39,50,39,0.5301893626650666,Normal
COF0120,32904,266,1,3,2010-01-04 09:00:00,2011-01-14 21:12:00,596,37,9516,10,0,0,0,2554,29754,143,14.74489423778264,0,23,14,12,38,13,35,0.529790181185611,Normal
KBP0008,114142,346,2,3,2010-01-04 06:45:00,2011-05-16 15:49:00,1197,0,0,0,0,0,0,9145,103800,297,11.04909673914948,6,16,23,18,40,11,34,0.5285573295176605,Normal
ESJ0670,53931,471,3,5,2010-01-02 07:56:00,2011-05-16 15:56:00,1030,0,0,13491,366,3303,3303,4582,44650,260,11.469099404795015,7,16,42,31,15,40,24,0.5284232158214895,Normal
RAW0915,46324,404,28,5,2010-01-02 08:22:00,2011-05-16 19:30:00,1203,0,8161,5619,872,459,459,3490,40300,336,13.602517053795008,8,19,43,50,21,43,24,0.5279863518935334,Normal
CTR0341,17310,491,3,3,2010-01-02 07:14:00,2011-05-16 18:15:00,1604,123,1463,5019,0,0,0,1467,14239,106,12.364471403812825,0,23,45,39,23,13,28,0.5277409768402095,Normal
CGB0637,16498,346,1,5,2010-01-04 09:06:00,2011-05-16 21:30:00,956,0,4987,0,2155,2333,2333,1020,10034,216,14.802824584798158,9,21,20,20,15,20,29,0.5262581913968422,Normal
CSH0626,70624,404,3,3,2010-01-04 08:00:00,2011-05-16 17:00:00,1294,69,1354,6980,0,0,0,5340,63990,141,12.205624150430449,0,23,33,17,41,18,23,0.5256928060004371,Normal
CQW0652,13257,327,1,5,2010-01-04 09:15:00,2011-04-18 21:15:00,654,0,3959,0,1330,696,696,974,9603,176,14.815493701440749,9,21,10,22,48,20,33,0.5245989172180776,Normal
MLM0950,10409,423,3,5,2010-01-03 07:13:00,2011-05-17 05:21:58,1349,12,16,1892,1694,2752,2752,404,4210,194,11.33163608415794,0,23,24,20,29,23,36,0.5234154362199676,Normal
AJR0319,79944,446,1,3,2010-01-02 07:37:00,2011-05-16 15:45:00,1258,0,0,17566,0,0,0,6434,72252,189,11.283110677474232,7,16,40,13,37,16,24,0.5224945812383801,Normal
JHP0583,9019,406,3,5,2010-01-02 08:20:00,2011-05-16 18:23:00,1391,45,1042,1134,1629,1589,1589,390,4020,88,13.111320545515024,0,23,37,25,40,42,37,0.5215506191196969,Normal
CMB0912,67590,423,46,3,2010-01-03 07:06:00,2011-05-16 16:12:00,1378,0,0,11190,0,0,0,5723,60489,360,11.254253587808847,7,16,46,43,16,22,31,0.5210742517358092,Normal
TDS0984,49632,430,39,5,2010-01-03 07:45:00,2011-05-16 17:42:00,1323,0,20,9263,346,3378,3378,3735,40850,210,12.268415538362348,7,18,39,39,15,40,38,0.5207766337937512,Normal
WIQ0567,49928,442,1,5,2010-01-03 08:48:00,2011-05-16 18:07:00,1240,0,874,10427,867,1955,1955,3876,41990,171,13.031966031084762,8,18,25,41,10,47,39,0.5201758165855898,Normal
KMB0922,38932,353,34,5,2010-01-04 08:24:00,2011-05-16 19:36:00,1188,64,6937,12,733,1209,1209,3027,32775,291,13.577930751053119,0,23,43,43,17,24,27,0.5200595968519577,Normal
RHL0992,20043,176,4,5,2010-01-04 09:01:00,2010-09-10 21:15:00,504,0,5999,0,735,370,370,1575,16859,151,14.815147433019009,9,21,36,10,39,37,36,0.5196052383711921,Normal
RHO0732,64654,354,3,5,2010-01-04 08:00:00,2011-05-16 17:05:00,1358,69,1601,11,1374,855,855,5015,56052,169,12.220898938967427,0,23,20,10,21,19,34,0.5189201163181723,Normal
CHM0821,6980,346,3,5,2010-01-04 08:20:00,2011-05-16 19:36:00,1221,13,1489,0,733,1228,1228,338,3460,112,13.674355300859599,0,23,48,11,39,19,23,0.5179770683010457,Normal
DAR0885,1298,38,5,3,2010-01-02 09:01:00,2010-02-08 04:27:31,116,7,109,416,0,0,0,109,1073,161,13.22342064714946,0,23,43,43,44,41,25,0.5176374817520789,Normal
MVH0373,8719,66,165,3,2010-01-04 00:12:17,2010-04-06 16:28:00,494,141,143,0,0,0,0,701,7524,201,11.794930611308637,0,23,44,19,20,21,25,0.515852267688984,Normal
BRS0734,21638,110,1,5,2010-01-02 07:49:00,2010-05-12 17:00:00,220,0,0,3405,256,1845,1845,1497,17820,114,11.921249653387559,7,17,32,39,47,10,30,0.5156233824289108,Normal
SSJ0784,15881,460,1,3,2010-01-02 08:24:00,2011-05-16 16:34:00,1453,80,382,3606,0,0,0,1291,13137,148,12.169762609407469,0,23,19,39,12,45,34,0.5147202503749866,Normal
EHB0420,44298,442,3,3,2010-01-03 07:51:00,2011-05-16 18:05:00,1651,82,1182,8224,0,0,0,3767,38880,280,12.643234457537586,0,23,45,42,38,17,20,0.5142863893705701,Normal
GHH0288,7595,348,3,5,2010-01-04 08:54:00,2011-05-16 18:10:00,808,12,283,4,1428,1563,1563,336,3460,56,13.07044107965767,0,23,12,36,40,36,30,0.5137071545571305,Normal
RSC0089,44049,373,27,5,2010-01-04 07:45:00,2011-05-16 16:42:00,1350,67,879,1929,5776,865,865,3208,32850,189,11.961066085495698,0,23,41,26,35,21,29,0.5112909192709565,Normal
HCL0651,14110,346,2,5,2010-01-04 09:11:00,2011-05-16 21:14:00,1016,0,4195,0,1320,723,723,1017,10034,282,14.775549255846917,9,21,21,19,44,36,33,0.5111313318000062,Normal
LUR0896,9719,303,3,3,2010-01-04 09:11:00,2011-03-08 18:08:00,806,51,835,8,0,0,0,867,8046,72,13.369585348286861,0,23,15,11,47,43,28,0.5099100952349463,Normal
TVS0006,108600,346,3,3,2010-01-04 08:31:00,2011-05-16 15:43:00,996,0,0,0,0,0,0,8994,98610,129,11.729594843462246,8,16,43,43,37,20,41,0.5097820165460833,Normal
AIB0948,12627,346,34,5,2010-01-04 07:13:00,2011-05-16 16:15:00,1207,0,0,0,5963,1669,1669,328,3460,144,11.292943692088382,7,16,42,31,27,20,31,0.5091837514584182,Normal
GTD0116,54869,346,1,3,2010-01-04 09:05:00,2011-05-16 21:06:00,692,0,15625,0,0,0,0,4699,49478,135,14.750988718584264,9,21,43,19,45,20,31,0.5091636039735185,Normal
HRD0635,3231,90,12,3,2010-01-04 09:11:00,2010-05-10 21:11:00,352,6,950,0,0,0,0,269,2610,47,14.628907458991025,0,21,24,35,18,32,24,0.5090931949823415,Normal
MCF0600,3482,246,2,5,2010-01-03 08:22:00,2010-10-16 18:31:00,616,136,600,568,72,102,102,239,2453,74,12.732912119471568,0,23,39,49,13,26,27,0.5086085056974586,Normal
BIH0745,25775,144,1,5,2010-01-04 07:56:00,2010-07-27 17:00:00,296,44,101,0,22,41,41,2087,23329,371,11.95282250242483,3,23,43,39,50,27,25,0.508582039491492,Normal
LRR0148,66481,400,3,5,2010-01-02 06:50:00,2011-05-16 17:08:00,1378,0,0,8145,1569,907,907,5427,57200,237,11.551044659376362,6,17,21,19,14,14,29,0.5080847985415989,Normal
TVS0050,73332,357,3,3,2010-01-04 07:04:00,2011-05-16 15:14:00,1339,92,2158,18,0,0,0,6253,65740,162,11.054832815142094,0,23,40,38,18,30,29,0.5077605185247575,Normal
ILH0958,8270,346,27,5,2010-01-04 07:13:00,2011-05-16 16:25:00,1203,0,0,0,300,2970,2970,337,3460,109,11.207617896009674,7,16,28,17,20,19,24,0.5071161960180728,Normal
LIM0674,38261,357,2,5,2010-01-04 07:48:00,2011-05-16 16:05:00,1206,28,508,872,264,185,185,3071,33535,237,11.655759128093882,0,23,18,13,35,49,20,0.505478535961365,Normal
LDD0560,4300,40,3,3,2010-01-03 08:53:00,2010-02-17 18:01:00,100,7,111,755,0,0,0,400,3800,104,13.136511627906977,2,23,25,43,39,26,35,0.5044674581768184,Normal
CAH0936,19348,172,19,5,2010-01-04 07:02:00,2010-09-03 16:10:00,567,39,185,0,25,42,42,1512,17202,230,11.323754393218938,0,23,40,22,39,50,24,0.5031147011690112,Normal
MTT0901,1368,29,1,5,2010-01-04 09:09:00,2010-02-11 18:21:00,78,0,80,0,180,187,187,82,841,58,13.39108187134503,9,18,41,34,30,40,30,0.5026762173318975,Normal
BQS0525,2416,49,8,5,2010-01-02 08:53:00,2010-02-19 17:00:00,112,0,0,688,782,57,57,142,1323,97,12.533940397350994,8,17,42,38,19,45,30,0.5026422410519652,Normal
AIP0982,45739,346,2,5,2010-01-04 07:34:00,2011-05-16 17:37:00,1000,0,9,0,729,6182,6182,3328,34500,93,12.279498895909398,7,18,43,20,43,41,33,0.5026311826712081,Normal
JMD0520,15378,348,36,5,2010-01-04 08:58:00,2011-05-16 17:07:00,1127,25,154,4,1315,1893,1893,1009,10034,108,12.586162049681363,0,23,21,45,16,38,29,0.5025661311909307,Normal
VTT0385,42471,346,32,5,2010-01-04 07:56:00,2011-05-16 15:54:00,758,0,0,0,5470,409,409,2964,32870,265,11.472298745026018,7,16,14,26,17,36,28,0.5013072004278023,Normal
MDH0686,48957,459,3,3,2010-01-03 08:52:00,2011-05-16 19:06:00,1332,0,6826,11522,0,0,0,4020,43605,289,13.533529423780053,8,19,37,43,31,20,38,0.5012967141532323,Normal
