id,user,day,logon_count,logoff_count,off_hours_logons,unique_pcs,device_connects,device_disconnects,unique_device_pcs,file_activity_count,unique_file_pcs,unique_files,sensitive_file_count,email_count,attachment_count,total_email_size,unique_email_pcs,external_email_count,http_request_count,unique_http_urls,off_hours_http,prediction,prediction_probability,ml_risk_score,behavioral_risk_score,final_risk_score,severity
14,USR0001,2010-01-17,2,1,1,1,0,0,0,11,1,7,2,15,1,92481.0,1,3,106,14,0,1,0.74,74.0,56.0,66.8,High
15,USR0001,2010-01-18,2,1,0,1,0,0,0,12,1,6,2,17,0,168213.0,1,0,99,17,0,0,0.24,24.0,20.0,22.4,Low
16,USR0001,2010-01-19,2,2,0,1,0,0,0,6,1,3,0,8,0,183186.0,1,1,113,14,10,1,1.0,100.0,100.0,100.0,Critical
17,USR0001,2010-01-20,1,2,0,1,1,1,1,11,1,3,2,8,1,46506.0,1,1,103,36,0,1,0.59,59.0,43.0,52.6,Medium
18,USR0001,2010-01-21,1,2,1,1,0,0,0,5,1,3,0,7,0,186417.0,1,1,75,40,0,0,0.25,25.0,20.0,23.0,Low
19,USR0001,2010-01-22,2,2,0,1,1,1,1,2,1,6,1,21,0,208460.0,1,2,151,15,5,1,1.0,100.0,91.0,96.4,Critical
20,USR0001,2010-01-23,2,2,0,1,0,0,0,5,1,2,0,10,1,101865.0,1,3,127,39,5,1,1.0,100.0,74.0,89.6,Critical
21,USR0001,2010-01-24,2,2,0,1,1,1,1,11,1,4,2,13,0,181424.0,1,1,34,28,0,1,0.54,54.0,43.0,49.6,Medium
22,USR0001,2010-01-25,1,2,0,1,0,0,0,8,1,4,0,14,1,73922.0,1,1,114,15,0,0,0.15,15.0,8.0,12.2,Low
23,USR0001,2010-01-26,1,1,0,1,0,0,0,7,1,2,0,8,0,193482.0,1,0,122,11,0,0,0.0,0.0,0.0,0.0,Low
24,USR0001,2010-01-27,1,1,0,1,1,1,1,10,1,4,2,10,0,172447.0,1,1,134,40,0,1,0.54,54.0,43.0,49.6,Medium
25,USR0001,2010-01-28,2,2,0,1,1,1,1,6,1,4,1,12,0,226504.0,1,1,57,34,5,1,1.0,100.0,83.0,93.2,Critical
26,USR0001,2010-01-29,2,2,1,1,0,0,0,6,1,3,2,16,1,101005.0,1,2,50,16,0,1,0.64,64.0,48.0,57.6,Medium
27,USR0001,2010-01-30,2,1,0,1,0,0,0,4,1,4,0,13,0,100606.0,1,1,36,36,5,1,0.85,85.0,58.0,74.2,High
28,USR0001,2010-01-31,1,2,0,1,0,0,0,5,1,3,1,14,0,106662.0,1,3,102,7,5,1,1.0,100.0,84.0,93.6,Critical
29,USR0001,2010-02-01,1,1,1,1,0,0,0,12,1,3,2,18,0,197606.0,1,1,80,10,10,1,1.0,100.0,100.0,100.0,Critical
30,USR0001,2010-02-02,1,2,0,1,0,0,0,4,1,5,0,6,1,125776.0,1,0,80,5,5,1,0.8,80.0,50.0,68.0,High
31,USR0002,2010-01-04,2,1,1,1,0,0,0,7,1,2,0,8,0,42272.0,1,3,31,8,10,1,1.0,100.0,100.0,100.0,Critical
32,USR0002,2010-01-05,2,1,0,1,0,0,0,4,1,6,1,10,0,206073.0,1,1,53,32,10,1,1.0,100.0,100.0,100.0,Critical
33,USR0002,2010-01-06,2,2,0,1,0,0,0,5,1,2,0,10,0,66977.0,1,2,41,39,0,0,0.2,20.0,16.0,18.4,Low
34,USR0002,2010-01-07,1,1,1,1,0,0,0,5,1,2,0,8,1,51707.0,1,0,97,35,10,1,1.0,100.0,100.0,100.0,Critical
35,USR0002,2010-01-08,1,2,0,1,1,1,1,9,1,5,1,15,2,171664.0,1,1,127,31,10,1,1.0,100.0,100.0,100.0,Critical
36,USR0002,2010-01-09,2,2,0,1,1,1,1,2,1,5,0,14,0,206873.0,1,1,135,13,0,0,0.3,30.0,23.0,27.2,Low
37,USR0002,2010-01-10,1,1,0,1,0,0,0,9,1,6,2,12,2,17106.0,1,1,105,13,10,1,1.0,100.0,100.0,100.0,Critical
38,USR0002,2010-01-11,1,2,0,1,1,1,1,5,1,4,2,14,0,27467.0,1,0,64,6,0,0,0.44,44.0,35.0,40.4,Medium
39,USR0002,2010-01-12,2,2,0,1,0,0,0,5,1,3,0,18,1,188045.0,1,2,27,22,0,0,0.25,25.0,16.0,21.4,Low
40,USR0002,2010-01-13,1,1,0,1,1,1,1,3,1,3,2,9,1,135098.0,1,1,134,14,0,1,0.59,59.0,43.0,52.6,Medium
41,USR0002,2010-01-14,2,1,0,1,0,0,0,3,1,4,1,10,0,54655.0,1,1,57,15,5,1,0.97,97.0,68.0,85.4,Critical
42,USR0002,2010-01-15,1,1,0,1,0,0,0,10,1,6,1,18,1,198432.0,1,1,36,26,10,1,1.0,100.0,100.0,100.0,Critical
43,USR0002,2010-01-16,1,2,0,1,0,0,0,5,1,5,1,10,1,186998.0,1,0,99,22,0,0,0.17,17.0,10.0,14.2,Low
44,USR0002,2010-01-17,2,2,0,1,0,0,0,6,1,4,2,22,0,77872.0,1,2,86,26,0,0,0.44,44.0,36.0,40.8,Medium
45,USR0002,2010-01-18,1,1,0,1,1,1,1,3,1,4,0,19,2,148886.0,1,3,127,18,5,1,1.0,100.0,89.0,95.6,Critical
46,USR0002,2010-01-19,1,2,1,1,0,0,0,9,1,3,0,17,2,200578.0,1,3,39,12,5,1,1.0,100.0,86.0,94.4,Critical
47,USR0002,2010-01-20,2,1,0,1,1,1,1,8,1,1,0,18,0,185072.0,1,1,36,35,5,1,1.0,100.0,73.0,89.2,Critical
48,USR0002,2010-01-21,2,2,0,1,0,0,0,7,1,4,0,15,2,16570.0,1,2,126,32,10,1,1.0,100.0,100.0,100.0,Critical
49,USR0002,2010-01-22,2,1,1,1,1,1,1,3,1,4,0,12,2,151278.0,1,0,36,14,0,0,0.45,45.0,27.0,37.8,Low
50,USR0002,2010-01-23,2,2,1,1,1,1,1,10,1,3,0,12,0,11198.0,1,3,41,27,5,1,1.0,100.0,100.0,100.0,Critical
51,USR0002,2010-01-24,2,2,0,1,0,0,0,9,1,4,1,20,2,96099.0,1,0,20,28,0,0,0.22,22.0,10.0,17.2,Low
52,USR0002,2010-01-25,2,1,0,1,1,1,1,7,1,7,2,10,2,212402.0,1,3,151,38,10,1,1.0,100.0,100.0,100.0,Critical
53,USR0002,2010-01-26,2,1,0,1,1,1,1,4,1,4,0,23,2,39543.0,1,3,119,7,10,1,1.0,100.0,100.0,100.0,Critical
54,USR0002,2010-01-27,2,1,0,1,0,0,0,2,1,3,0,12,2,82569.0,1,0,105,40,10,1,1.0,100.0,100.0,100.0,Critical
55,USR0002,2010-01-28,2,1,1,1,0,0,0,5,1,5,0,8,2,43081.0,1,0,149,15,5,1,1.0,100.0,62.0,84.8,High
56,USR0002,2010-01-29,1,1,0,1,0,0,0,1,1,1,0,21,2,28161.0,1,3,141,10,0,0,0.4,40.0,24.0,33.6,Low
57,USR0002,2010-01-30,1,1,0,1,0,0,0,10,1,5,2,9,0,139304.0,1,2,22,14,0,0,0.44,44.0,36.0,40.8,Medium
58,USR0002,2010-01-31,1,1,0,1,1,1,1,6,1,6,2,16,1,244831.0,1,0,75,17,5,1,1.0,100.0,85.0,94.0,Critical
59,USR0002,2010-02-01,2,1,0,1,0,0,0,12,1,5,2,22,1,244896.0,1,2,53,30,5,1,1.0,100.0,86.0,94.4,Critical
60,USR0002,2010-02-02,1,1,0,1,1,1,1,1,1,2,0,23,1,103053.0,1,3,122,6,5,1,1.0,100.0,89.0,95.6,Critical
61,USR0003,2010-01-04,1,1,0,1,1,1,1,10,1,3,1,15,0,159849.0,1,0,103,6,0,0,0.32,32.0,25.0,29.2,Low
62,USR0003,2010-01-05,1,2,0,1,1,1,1,6,1,2,0,12,2,224614.0,1,1,102,39,5,1,1.0,100.0,73.0,89.2,Critical
63,USR0003,2010-01-06,1,1,1,1,0,0,0,8,1,3,0,13,0,12898.0,1,0,29,21,0,0,0.15,15.0,12.0,13.8,Low
64,USR0003,2010-01-07,2,2,1,1,0,0,0,11,1,5,1,13,1,103586.0,1,1,85,33,5,1,1.0,100.0,80.0,92.0,Critical
65,USR0003,2010-01-08,1,1,0,1,0,0,0,7,1,1,0,17,2,216090.0,1,0,68,35,0,0,0.1,10.0,0.0,6.0,Low
66,USR0003,2010-01-09,2,2,0,1,1,1,1,8,1,2,0,13,1,94312.0,1,3,79,15,10,1,1.0,100.0,100.0,100.0,Critical
67,USR0003,2010-01-10,1,2,0,1,0,0,0,2,1,2,1,8,1,103313.0,1,0,102,34,0,0,0.17,17.0,10.0,14.2,Low
68,USR0003,2010-01-11,2,1,0,1,0,0,0,8,1,4,0,18,0,69040.0,1,1,78,17,5,1,0.85,85.0,58.0,74.2,High
69,USR0003,2010-01-12,2,2,0,1,0,0,0,2,1,5,0,17,2,187262.0,1,2,70,24,0,0,0.3,30.0,16.0,24.4,Low
70,USR0003,2010-01-13,2,2,0,1,1,1,1,3,1,1,0,13,2,180009.0,1,1,52,34,5,1,1.0,100.0,73.0,89.2,Critical
71,USR0003,2010-01-14,1,2,0,1,0,0,0,2,1,2,0,19,1,216742.0,1,0,106,7,0,0,0.05,5.0,0.0,3.0,Low
72,USR0003,2010-01-15,1,2,1,1,1,1,1,10,1,5,0,21,2,185295.0,1,3,46,33,10,1,1.0,100.0,100.0,100.0,Critical
73,USR0003,2010-01-16,1,2,0,1,0,0,0,8,1,3,0,14,0,149924.0,1,2,107,26,10,1,1.0,100.0,100.0,100.0,Critical
74,USR0003,2010-01-17,2,1,0,1,1,1,1,8,1,6,2,7,2,245910.0,1,1,125,7,10,1,1.0,100.0,100.0,100.0,Critical
75,USR0003,2010-01-18,1,1,0,1,0,0,0,1,1,3,0,17,2,69556.0,1,0,57,20,0,0,0.1,10.0,0.0,6.0,Low
76,USR0003,2010-01-19,1,1,0,1,0,0,0,8,1,7,2,17,1,220639.0,1,0,68,6,5,1,1.0,100.0,70.0,88.0,Critical
77,USR0003,2010-01-20,1,1,0,1,0,0,0,6,1,3,0,16,2,12183.0,1,1,86,15,5,1,0.95,95.0,58.0,80.2,High
78,USR0003,2010-01-21,2,2,0,1,0,0,0,6,1,2,1,5,2,244932.0,1,0,103,27,10,1,1.0,100.0,100.0,100.0,Critical
79,USR0003,2010-01-22,1,2,0,1,0,0,0,11,1,2,1,16,2,60283.0,1,1,71,19,0,0,0.32,32.0,18.0,26.4,Low
80,USR0003,2010-01-23,1,2,1,1,0,0,0,3,1,4,0,20,1,229065.0,1,2,69,10,0,0,0.4,40.0,28.0,35.2,Low
81,USR0003,2010-01-24,1,2,0,1,0,0,0,7,1,6,2,23,1,100717.0,1,3,101,23,0,1,0.59,59.0,44.0,53.0,Medium
82,USR0003,2010-01-25,2,2,0,1,1,1,1,4,1,5,0,23,0,50347.0,1,3,111,24,10,1,1.0,100.0,100.0,100.0,Critical
83,USR0003,2010-01-26,2,1,0,1,1,1,1,5,1,5,0,12,1,191960.0,1,0,156,10,10,1,1.0,100.0,100.0,100.0,Critical
84,USR0003,2010-01-27,1,2,0,1,0,0,0,8,1,5,0,5,1,196348.0,1,0,33,40,0,0,0.05,5.0,0.0,3.0,Low
85,USR0003,2010-01-28,2,2,1,1,0,0,0,5,1,5,0,6,0,16928.0,1,1,100,30,10,1,1.0,100.0,100.0,100.0,Critical
86,USR0003,2010-01-29,2,1,1,1,0,0,0,8,1,7,2,16,1,230631.0,1,2,93,30,0,1,0.64,64.0,48.0,57.6,Medium
87,USR0003,2010-01-30,1,1,0,1,0,0,0,10,1,2,0,11,0,60207.0,1,1,78,29,0,0,0.1,10.0,8.0,9.2,Low
88,USR0003,2010-01-31,2,2,1,1,0,0,0,9,1,4,0,12,0,112088.0,1,2,26,40,0,0,0.35,35.0,28.0,32.2,Low
89,USR0003,2010-02-01,2,1,0,1,0,0,0,10,1,5,0,18,0,243474.0,1,3,148,36,10,1,1.0,100.0,100.0,100.0,Critical
90,USR0003,2010-02-02,1,1,0,1,0,0,0,10,1,2,1,6,1,227342.0,1,1,148,29,0,0,0.27,27.0,18.0,23.4,Low
91,USR0004,2010-01-04,1,1,0,1,1,1,1,5,1,2,0,9,0,178408.0,1,1,119,30,10,1,1.0,100.0,100.0,100.0,Critical
92,USR0004,2010-01-05,1,2,0,1,1,1,1,10,1,2,0,10,2,219789.0,1,0,98,29,10,1,1.0,100.0,100.0,100.0,Critical
93,USR0004,2010-01-06,1,2,0,1,0,0,0,10,1,4,0,10,2,40363.0,1,3,76,16,10,1,1.0,100.0,100.0,100.0,Critical
94,USR0004,2010-01-07,1,2,0,1,0,0,0,7,1,3,2,11,1,55934.0,1,1,51,34,0,0,0.39,39.0,28.0,34.6,Low
95,USR0004,2010-01-08,1,1,0,1,0,0,0,5,1,2,0,13,2,155972.0,1,3,113,38,0,0,0.4,40.0,24.0,33.6,Low
96,USR0004,2010-01-09,2,2,0,1,0,0,0,8,1,3,0,16,1,57553.0,1,2,149,39,10,1,1.0,100.0,100.0,100.0,Critical
97,USR0004,2010-01-10,2,2,1,1,1,1,1,9,1,4,1,11,2,184162.0,1,3,76,9,5,1,1.0,100.0,100.0,100.0,Critical
98,USR0004,2010-01-11,1,1,0,1,0,0,0,7,1,1,0,11,0,19641.0,1,0,119,16,10,1,1.0,100.0,100.0,100.0,Critical
99,USR0004,2010-01-12,1,2,0,1,0,0,0,7,1,7,2,20,0,241526.0,1,1,50,16,0,0,0.34,34.0,28.0,31.6,Low
100,USR0004,2010-01-13,2,1,0,1,0,0,0,10,1,5,2,18,0,164426.0,1,2,95,19,0,0,0.44,44.0,36.0,40.8,Medium
101,USR0004,2010-01-14,1,2,0,1,0,0,0,6,1,7,2,13,2,104741.0,1,1,110,12,5,1,1.0,100.0,78.0,91.2,Critical
102,USR0004,2010-01-15,1,2,0,1,0,0,0,2,1,4,1,10,0,202969.0,1,0,133,17,0,0,0.12,12.0,10.0,11.2,Low
103,USR0004,2010-01-16,1,2,0,1,0,0,0,6,1,7,2,14,2,31135.0,1,2,91,39,0,1,0.54,54.0,36.0,46.8,Medium
104,USR0004,2010-01-17,1,1,0,1,0,0,0,11,1,5,2,23,2,164995.0,1,3,79,14,0,1,0.64,64.0,44.0,56.0,Medium
105,USR0004,2010-01-18,1,2,0,1,1,1,1,11,1,6,1,11,1,150225.0,1,0,87,35,0,0,0.37,37.0,25.0,32.2,Low
106,USR0004,2010-01-19,2,2,0,1,1,1,1,3,1,4,0,15,0,85220.0,1,3,134,11,0,1,0.5,50.0,39.0,45.6,Medium
107,USR0004,2010-01-20,2,2,0,1,0,0,0,8,1,3,2,17,0,59019.0,1,0,74,6,0,0,0.24,24.0,20.0,22.4,Low
108,USR0004,2010-01-21,1,1,1,1,0,0,0,6,1,4,2,22,0,122884.0,1,2,157,5,10,1,1.0,100.0,100.0,100.0,Critical
109,USR0004,2010-01-22,2,1,0,1,1,1,1,12,1,3,2,20,2,237184.0,1,0,27,17,0,1,0.54,54.0,35.0,46.4,Medium
110,USR0004,2010-01-23,1,1,0,1,1,1,1,3,1,2,1,13,0,121973.0,1,0,106,36,5,1,1.0,100.0,75.0,90.0,Critical
111,USR0004,2010-01-24,2,1,0,1,1,1,1,3,1,1,0,5,0,116884.0,1,0,81,17,0,0,0.2,20.0,15.0,18.0,Low
112,USR0004,2010-01-25,2,2,0,1,0,0,0,4,1,5,2,17,0,121510.0,1,0,47,14,0,0,0.24,24.0,20.0,22.4,Low
113,USR0004,2010-01-26,1,1,1,1,0,0,0,9,1,7,2,19,1,218918.0,1,3,141,20,5,1,1.0,100.0,100.0,100.0,Critical
114,USR0004,2010-01-27,2,1,1,1,0,0,0,5,1,7,2,15,0,60231.0,1,2,55,31,10,1,1.0,100.0,100.0,100.0,Critical
115,USR0004,2010-01-28,2,1,0,1,1,1,1,6,1,4,0,8,2,212577.0,1,2,149,9,0,1,0.5,50.0,31.0,42.4,Medium
116,USR0004,2010-01-29,1,2,1,1,1,1,1,9,1,7,2,13,0,56948.0,1,1,49,25,0,1,0.69,69.0,55.0,63.4,High
117,USR0004,2010-01-30,1,2,0,1,1,1,1,2,1,2,0,8,1,148656.0,1,1,134,37,0,0,0.35,35.0,23.0,30.2,Low
118,USR0004,2010-01-31,2,1,1,1,1,1,1,10,1,3,1,18,2,248539.0,1,0,60,6,0,1,0.57,57.0,37.0,49.0,Medium
119,USR0004,2010-02-01,1,1,0,1,0,0,0,4,1,4,1,14,2,109069.0,1,0,76,22,0,0,0.22,22.0,10.0,17.2,Low
120,USR0004,2010-02-02,1,1,0,1,0,0,0,2,1,5,1,10,2,28676.0,1,3,96,35,0,1,0.52,52.0,34.0,44.8,Medium
121,USR0005,2010-01-04,1,1,0,1,0,0,0,6,1,5,2,17,1,249453.0,1,3,128,25,0,1,0.59,59.0,44.0,53.0,Medium
122,USR0005,2010-01-05,1,1,0,1,0,0,0,3,1,7,2,9,0,219027.0,1,0,132,30,0,0,0.24,24.0,20.0,22.4,Low
123,USR0005,2010-01-06,2,1,1,1,1,1,1,11,1,2,1,17,0,246038.0,1,2,79,40,5,1,1.0,100.0,100.0,100.0,Critical
124,USR0005,2010-01-07,2,2,0,1,1,1,1,5,1,4,2,10,1,94416.0,1,0,143,29,5,1,1.0,100.0,85.0,94.0,Critical
125,USR0005,2010-01-08,2,1,0,1,1,1,1,1,1,5,0,12,0,242890.0,1,1,144,16,0,0,0.3,30.0,23.0,27.2,Low
126,USR0005,2010-01-09,2,2,1,1,1,1,1,10,1,2,0,22,1,159443.0,1,3,149,34,0,1,0.7,70.0,51.0,62.4,High
127,USR0005,2010-01-10,1,1,0,1,0,0,0,6,1,5,2,18,0,130814.0,1,3,93,30,0,1,0.54,54.0,44.0,50.0,Medium
128,USR0005,2010-01-11,1,1,0,1,1,1,1,10,1,5,2,16,2,205831.0,1,1,139,22,0,1,0.64,64.0,43.0,55.6,Medium
129,USR0005,2010-01-12,1,1,1,1,0,0,0,8,1,6,1,13,2,59398.0,1,2,123,28,10,1,1.0,100.0,100.0,100.0,Critical
130,USR0005,2010-01-13,2,1,0,1,0,0,0,3,1,5,2,16,0,66884.0,1,2,60,25,5,1,1.0,100.0,86.0,94.4,Critical
131,USR0005,2010-01-14,2,1,0,1,0,0,0,8,1,4,0,13,2,201600.0,1,1,68,38,0,0,0.2,20.0,8.0,15.2,Low
132,USR0005,2010-01-15,2,2,1,1,1,1,1,5,1,4,1,17,0,11573.0,1,3,46,32,5,1,1.0,100.0,100.0,100.0,Critical
133,USR0005,2010-01-16,1,1,0,1,0,0,0,11,1,6,1,12,0,226194.0,1,1,47,18,0,0,0.22,22.0,18.0,20.4,Low
134,USR0005,2010-01-17,2,1,0,1,1,1,1,11,1,6,1,11,0,138349.0,1,2,97,17,0,1,0.52,52.0,41.0,47.6,Medium
135,USR0005,2010-01-18,2,2,0,1,0,0,0,6,1,5,0,9,0,45902.0,1,3,139,37,10,1,1.0,100.0,100.0,100.0,Critical
136,USR0005,2010-01-19,1,1,1,1,0,0,0,9,1,4,1,6,1,54804.0,1,1,35,35,0,0,0.42,42.0,30.0,37.2,Low
137,USR0005,2010-01-20,2,2,1,1,1,1,1,9,1,1,0,16,0,108273.0,1,1,141,35,5,1,1.0,100.0,85.0,94.0,Critical
138,USR0005,2010-01-21,1,2,0,1,1,1,1,5,1,4,2,13,1,222721.0,1,2,36,28,5,1,1.0,100.0,100.0,100.0,Critical
139,USR0005,2010-01-22,2,2,0,1,0,0,0,8,1,5,0,22,2,190582.0,1,2,49,26,0,0,0.3,30.0,16.0,24.4,Low
140,USR0005,2010-01-23,2,1,1,1,1,1,1,7,1,1,0,8,2,171659.0,1,0,72,14,10,1,1.0,100.0,100.0,100.0,Critical
141,USR0005,2010-01-24,1,2,0,1,0,0,0,10,1,2,0,6,0,249171.0,1,0,134,38,5,1,0.75,75.0,50.0,65.0,High
142,USR0005,2010-01-25,2,2,0,1,0,0,0,7,1,4,0,8,2,156205.0,1,3,69,23,0,0,0.4,40.0,24.0,33.6,Low
143,USR0005,2010-01-26,1,2,1,1,0,0,0,6,1,5,1,6,1,47945.0,1,0,21,10,0,0,0.32,32.0,22.0,28.0,Low
144,USR0005,2010-01-27,1,2,0,1,1,1,1,6,1,4,2,9,0,23805.0,1,3,23,34,0,1,0.74,74.0,59.0,68.0,High
145,USR0005,2010-01-28,2,1,0,1,0,0,0,4,1,1,0,20,0,244225.0,1,2,54,15,5,1,0.95,95.0,66.0,83.4,High
146,USR0005,2010-01-29,2,2,0,1,0,0,0,6,1,5,1,22,1,207765.0,1,3,140,9,5,1,1.0,100.0,84.0,93.6,Critical
147,USR0005,2010-01-30,1,2,0,1,0,0,0,8,1,4,0,11,1,52510.0,1,0,50,7,0,0,0.05,5.0,0.0,3.0,Low
148,USR0005,2010-01-31,2,2,1,1,0,0,0,9,1,3,2,14,1,20284.0,1,1,139,36,5,1,1.0,100.0,90.0,96.0,Critical
149,USR0005,2010-02-01,1,2,0,1,1,1,1,11,1,6,2,20,2,48294.0,1,3,135,18,10,1,1.0,100.0,100.0,100.0,Critical
150,USR0005,2010-02-02,1,2,0,1,0,0,0,9,1,2,0,15,2,25443.0,1,0,63,34,0,0,0.1,10.0,0.0,6.0,Low
151,USR0006,2010-01-04,1,1,0,1,0,0,0,2,1,4,0,16,0,30614.0,1,2,102,15,10,1,1.0,100.0,100.0,100.0,Critical
152,USR0006,2010-01-05,2,1,1,1,0,0,0,10,1,6,1,8,2,148897.0,1,0,81,35,0,0,0.37,37.0,22.0,31.0,Low
153,USR0006,2010-01-06,2,2,0,1,1,1,1,10,1,3,2,8,0,173407.0,1,0,71,24,5,1,1.0,100.0,85.0,94.0,Critical
154,USR0006,2010-01-07,1,2,0,1,0,0,0,4,1,5,0,7,0,196250.0,1,0,154,37,5,1,0.75,75.0,50.0,65.0,High
155,USR0006,2010-01-08,1,1,1,1,0,0,0,6,1,3,1,19,0,102032.0,1,0,104,26,5,1,1.0,100.0,72.0,88.8,Critical
156,USR0006,2010-01-09,1,1,0,1,0,0,0,7,1,3,1,12,1,107451.0,1,2,63,8,0,0,0.37,37.0,26.0,32.6,Low
157,USR0006,2010-01-10,2,2,0,1,0,0,0,3,1,6,1,11,2,15829.0,1,2,64,10,5,1,1.0,100.0,76.0,90.4,Critical
158,USR0006,2010-01-11,2,1,0,1,1,1,1,11,1,5,1,21,0,197536.0,1,3,82,35,0,1,0.62,62.0,49.0,56.8,Medium
159,USR0006,2010-01-12,2,2,1,1,0,0,0,6,1,5,1,17,2,50229.0,1,2,114,5,5,1,1.0,100.0,88.0,95.2,Critical
160,USR0006,2010-01-13,1,1,1,1,0,0,0,7,1,5,2,18,2,93736.0,1,0,50,22,5,1,1.0,100.0,82.0,92.8,Critical
161,USR0006,2010-01-14,1,1,1,1,1,1,1,12,1,3,2,19,1,188643.0,1,3,90,30,5,1,1.0,100.0,100.0,100.0,Critical
162,USR0006,2010-01-15,1,2,0,1,0,0,0,9,1,7,2,12,1,153174.0,1,3,22,40,0,1,0.59,59.0,44.0,53.0,Medium
163,USR0006,2010-01-16,2,1,0,1,0,0,0,4,1,6,2,12,2,188689.0,1,3,56,23,10,1,1.0,100.0,100.0,100.0,Critical
164,USR0006,2010-01-17,1,1,0,1,0,0,0,12,1,5,2,18,2,129947.0,1,2,34,21,0,1,0.54,54.0,36.0,46.8,Medium
165,USR0006,2010-01-18,1,2,0,1,0,0,0,8,1,5,2,20,0,75957.0,1,0,99,10,0,0,0.24,24.0,20.0,22.4,Low
166,USR0006,2010-01-19,1,2,0,1,0,0,0,8,1,5,0,8,1,20272.0,1,1,103,31,10,1,1.0,100.0,100.0,100.0,Critical
167,USR0006,2010-01-20,1,1,0,1,0,0,0,1,1,4,0,8,2,109462.0,1,1,88,32,0,0,0.2,20.0,8.0,15.2,Low
168,USR0006,2010-01-21,1,1,0,1,1,1,1,5,1,5,0,10,1,24893.0,1,1,30,31,0,0,0.35,35.0,23.0,30.2,Low
169,USR0006,2010-01-22,1,2,0,1,1,1,1,10,1,6,2,15,0,138127.0,1,0,117,18,0,0,0.44,44.0,35.0,40.4,Medium
170,USR0006,2010-01-23,1,2,0,1,0,0,0,1,1,4,0,13,1,112866.0,1,0,103,19,0,0,0.05,5.0,0.0,3.0,Low
171,USR0006,2010-01-24,2,2,0,1,1,1,1,10,1,5,2,14,0,241412.0,1,0,118,5,10,1,1.0,100.0,100.0,100.0,Critical
172,USR0006,2010-01-25,1,2,0,1,0,0,0,4,1,4,0,15,0,118318.0,1,2,120,32,10,1,1.0,100.0,100.0,100.0,Critical
173,USR0006,2010-01-26,2,1,0,1,0,0,0,10,1,3,1,8,2,107977.0,1,3,57,21,0,1,0.52,52.0,34.0,44.8,Medium
174,USR0006,2010-01-27,1,2,1,1,0,0,0,4,1,5,2,8,1,169862.0,1,1,37,38,5,1,1.0,100.0,90.0,96.0,Critical
175,USR0006,2010-01-28,2,1,0,1,0,0,0,10,1,4,0,16,2,243666.0,1,0,105,17,0,0,0.1,10.0,0.0,6.0,Low
176,USR0006,2010-01-29,2,1,1,1,1,1,1,3,1,4,0,20,1,54441.0,1,3,146,5,0,1,0.7,70.0,51.0,62.4,High
177,USR0006,2010-01-30,2,1,0,1,0,0,0,6,1,2,0,16,1,182871.0,1,1,143,9,10,1,1.0,100.0,100.0,100.0,Critical
178,USR0006,2010-01-31,1,2,0,1,0,0,0,10,1,6,1,16,2,103116.0,1,0,130,37,0,0,0.22,22.0,10.0,17.2,Low
