logon_count,logoff_count,off_hours_logons,unique_pcs,device_connects,device_disconnects,unique_device_pcs,file_activity_count,unique_file_pcs,unique_files,sensitive_file_count,email_count,attachment_count,total_email_size,unique_email_pcs,external_email_count,http_request_count,unique_http_urls,off_hours_http,user,day
1,1,0,1,1,1,1,1,1,2,0,23,1,103053.0,1,3,122,6,5,USR0002,2010-02-02
1,1,0,1,1,1,1,10,1,3,1,15,0,159849.0,1,0,103,6,0,USR0003,2010-01-04
1,2,0,1,1,1,1,6,1,2,0,12,2,224614.0,1,1,102,39,5,USR0003,2010-01-05
1,1,1,1,0,0,0,8,1,3,0,13,0,12898.0,1,0,29,21,0,USR0003,2010-01-06
2,2,1,1,0,0,0,11,1,5,1,13,1,103586.0,1,1,85,33,5,USR0003,2010-01-07
1,1,0,1,0,0,0,7,1,1,0,17,2,216090.0,1,0,68,35,0,USR0003,2010-01-08
2,2,0,1,1,1,1,8,1,2,0,13,1,94312.0,1,3,79,15,10,USR0003,2010-01-09
1,2,0,1,0,0,0,2,1,2,1,8,1,103313.0,1,0,102,34,0,USR0003,2010-01-10
2,1,0,1,0,0,0,8,1,4,0,18,0,69040.0,1,1,78,17,5,USR0003,2010-01-11
2,2,0,1,0,0,0,2,1,5,0,17,2,187262.0,1,2,70,24,0,USR0003,2010-01-12
2,2,0,1,1,1,1,3,1,1,0,13,2,180009.0,1,1,52,34,5,USR0003,2010-01-13
1,2,0,1,0,0,0,2,1,2,0,19,1,216742.0,1,0,106,7,0,USR0003,2010-01-14
1,2,1,1,1,1,1,10,1,5,0,21,2,185295.0,1,3,46,33,10,USR0003,2010-01-15
1,2,0,1,0,0,0,8,1,3,0,14,0,149924.0,1,2,107,26,10,USR0003,2010-01-16
2,1,0,1,1,1,1,8,1,6,2,7,2,245910.0,1,1,125,7,10,USR0003,2010-01-17
1,1,0,1,0,0,0,1,1,3,0,17,2,69556.0,1,0,57,20,0,USR0003,2010-01-18
1,1,0,1,0,0,0,8,1,7,2,17,1,220639.0,1,0,68,6,5,USR0003,2010-01-19
1,1,0,1,0,0,0,6,1,3,0,16,2,12183.0,1,1,86,15,5,USR0003,2010-01-20
2,2,0,1,0,0,0,6,1,2,1,5,2,244932.0,1,0,103,27,10,USR0003,2010-01-21
1,2,0,1,0,0,0,11,1,2,1,16,2,60283.0,1,1,71,19,0,USR0003,2010-01-22
1,2,1,1,0,0,0,3,1,4,0,20,1,229065.0,1,2,69,10,0,USR0003,2010-01-23
1,2,0,1,0,0,0,7,1,6,2,23,1,100717.0,1,3,101,23,0,USR0003,2010-01-24
2,2,0,1,1,1,1,4,1,5,0,23,0,50347.0,1,3,111,24,10,USR0003,2010-01-25
2,1,0,1,1,1,1,5,1,5,0,12,1,191960.0,1,0,156,10,10,USR0003,2010-01-26
1,2,0,1,0,0,0,8,1,5,0,5,1,196348.0,1,0,33,40,0,USR0003,2010-01-27
2,2,1,1,0,0,0,5,1,5,0,6,0,16928.0,1,1,100,30,10,USR0003,2010-01-28
2,1,1,1,0,0,0,8,1,7,2,16,1,230631.0,1,2,93,30,0,USR0003,2010-01-29
1,1,0,1,0,0,0,10,1,2,0,11,0,60207.0,1,1,78,29,0,USR0003,2010-01-30
2,2,1,1,0,0,0,9,1,4,0,12,0,112088.0,1,2,26,40,0,USR0003,2010-01-31
2,1,0,1,0,0,0,10,1,5,0,18,0,243474.0,1,3,148,36,10,USR0003,2010-02-01
1,1,0,1,0,0,0,10,1,2,1,6,1,227342.0,1,1,148,29,0,USR0003,2010-02-02
1,1,0,1,1,1,1,5,1,2,0,9,0,178408.0,1,1,119,30,10,USR0004,2010-01-04
1,2,0,1,1,1,1,10,1,2,0,10,2,219789.0,1,0,98,29,10,USR0004,2010-01-05
1,2,0,1,0,0,0,10,1,4,0,10,2,40363.0,1,3,76,16,10,USR0004,2010-01-06
1,2,0,1,0,0,0,7,1,3,2,11,1,55934.0,1,1,51,34,0,USR0004,2010-01-07
1,1,0,1,0,0,0,5,1,2,0,13,2,155972.0,1,3,113,38,0,USR0004,2010-01-08
2,2,0,1,0,0,0,8,1,3,0,16,1,57553.0,1,2,149,39,10,USR0004,2010-01-09
2,2,1,1,1,1,1,9,1,4,1,11,2,184162.0,1,3,76,9,5,USR0004,2010-01-10
1,1,0,1,0,0,0,7,1,1,0,11,0,19641.0,1,0,119,16,10,USR0004,2010-01-11
1,2,0,1,0,0,0,7,1,7,2,20,0,241526.0,1,1,50,16,0,USR0004,2010-01-12
2,1,0,1,0,0,0,10,1,5,2,18,0,164426.0,1,2,95,19,0,USR0004,2010-01-13
1,2,0,1,0,0,0,6,1,7,2,13,2,104741.0,1,1,110,12,5,USR0004,2010-01-14
1,2,0,1,0,0,0,2,1,4,1,10,0,202969.0,1,0,133,17,0,USR0004,2010-01-15
1,2,0,1,0,0,0,6,1,7,2,14,2,31135.0,1,2,91,39,0,USR0004,2010-01-16
1,1,0,1,0,0,0,11,1,5,2,23,2,164995.0,1,3,79,14,0,USR0004,2010-01-17
1,2,0,1,1,1,1,11,1,6,1,11,1,150225.0,1,0,87,35,0,USR0004,2010-01-18
2,2,0,1,1,1,1,3,1,4,0,15,0,85220.0,1,3,134,11,0,USR0004,2010-01-19
2,2,0,1,0,0,0,8,1,3,2,17,0,59019.0,1,0,74,6,0,USR0004,2010-01-20
1,1,1,1,0,0,0,6,1,4,2,22,0,122884.0,1,2,157,5,10,USR0004,2010-01-21
2,1,0,1,1,1,1,12,1,3,2,20,2,237184.0,1,0,27,17,0,USR0004,2010-01-22
1,1,0,1,1,1,1,3,1,2,1,13,0,121973.0,1,0,106,36,5,USR0004,2010-01-23
2,1,0,1,1,1,1,3,1,1,0,5,0,116884.0,1,0,81,17,0,USR0004,2010-01-24
2,2,0,1,0,0,0,4,1,5,2,17,0,121510.0,1,0,47,14,0,USR0004,2010-01-25
1,1,1,1,0,0,0,9,1,7,2,19,1,218918.0,1,3,141,20,5,USR0004,2010-01-26
2,1,1,1,0,0,0,5,1,7,2,15,0,60231.0,1,2,55,31,10,USR0004,2010-01-27
2,1,0,1,1,1,1,6,1,4,0,8,2,212577.0,1,2,149,9,0,USR0004,2010-01-28
1,2,1,1,1,1,1,9,1,7,2,13,0,56948.0,1,1,49,25,0,USR0004,2010-01-29
1,2,0,1,1,1,1,2,1,2,0,8,1,148656.0,1,1,134,37,0,USR0004,2010-01-30
2,1,1,1,1,1,1,10,1,3,1,18,2,248539.0,1,0,60,6,0,USR0004,2010-01-31
1,1,0,1,0,0,0,4,1,4,1,14,2,109069.0,1,0,76,22,0,USR0004,2010-02-01
1,1,0,1,0,0,0,2,1,5,1,10,2,28676.0,1,3,96,35,0,USR0004,2010-02-02
1,1,0,1,0,0,0,6,1,5,2,17,1,249453.0,1,3,128,25,0,USR0005,2010-01-04
1,1,0,1,0,0,0,3,1,7,2,9,0,219027.0,1,0,132,30,0,USR0005,2010-01-05
2,1,1,1,1,1,1,11,1,2,1,17,0,246038.0,1,2,79,40,5,USR0005,2010-01-06
2,2,0,1,1,1,1,5,1,4,2,10,1,94416.0,1,0,143,29,5,USR0005,2010-01-07
2,1,0,1,1,1,1,1,1,5,0,12,0,242890.0,1,1,144,16,0,USR0005,2010-01-08
2,2,1,1,1,1,1,10,1,2,0,22,1,159443.0,1,3,149,34,0,USR0005,2010-01-09
1,1,0,1,0,0,0,6,1,5,2,18,0,130814.0,1,3,93,30,0,USR0005,2010-01-10
1,1,0,1,1,1,1,10,1,5,2,16,2,205831.0,1,1,139,22,0,USR0005,2010-01-11
1,1,1,1,0,0,0,8,1,6,1,13,2,59398.0,1,2,123,28,10,USR0005,2010-01-12
2,1,0,1,0,0,0,3,1,5,2,16,0,66884.0,1,2,60,25,5,USR0005,2010-01-13
2,1,0,1,0,0,0,8,1,4,0,13,2,201600.0,1,1,68,38,0,USR0005,2010-01-14
2,2,1,1,1,1,1,5,1,4,1,17,0,11573.0,1,3,46,32,5,USR0005,2010-01-15
1,1,0,1,0,0,0,11,1,6,1,12,0,226194.0,1,1,47,18,0,USR0005,2010-01-16
2,1,0,1,1,1,1,11,1,6,1,11,0,138349.0,1,2,97,17,0,USR0005,2010-01-17
2,2,0,1,0,0,0,6,1,5,0,9,0,45902.0,1,3,139,37,10,USR0005,2010-01-18
1,1,1,1,0,0,0,9,1,4,1,6,1,54804.0,1,1,35,35,0,USR0005,2010-01-19
2,2,1,1,1,1,1,9,1,1,0,16,0,108273.0,1,1,141,35,5,USR0005,2010-01-20
1,2,0,1,1,1,1,5,1,4,2,13,1,222721.0,1,2,36,28,5,USR0005,2010-01-21
2,2,0,1,0,0,0,8,1,5,0,22,2,190582.0,1,2,49,26,0,USR0005,2010-01-22
2,1,1,1,1,1,1,7,1,1,0,8,2,171659.0,1,0,72,14,10,USR0005,2010-01-23
1,2,0,1,0,0,0,10,1,2,0,6,0,249171.0,1,0,134,38,5,USR0005,2010-01-24
2,2,0,1,0,0,0,7,1,4,0,8,2,156205.0,1,3,69,23,0,USR0005,2010-01-25
1,2,1,1,0,0,0,6,1,5,1,6,1,47945.0,1,0,21,10,0,USR0005,2010-01-26
1,2,0,1,1,1,1,6,1,4,2,9,0,23805.0,1,3,23,34,0,USR0005,2010-01-27
2,1,0,1,0,0,0,4,1,1,0,20,0,244225.0,1,2,54,15,5,USR0005,2010-01-28
2,2,0,1,0,0,0,6,1,5,1,22,1,207765.0,1,3,140,9,5,USR0005,2010-01-29
1,2,0,1,0,0,0,8,1,4,0,11,1,52510.0,1,0,50,7,0,USR0005,2010-01-30
2,2,1,1,0,0,0,9,1,3,2,14,1,20284.0,1,1,139,36,5,USR0005,2010-01-31
1,2,0,1,1,1,1,11,1,6,2,20,2,48294.0,1,3,135,18,10,USR0005,2010-02-01
1,2,0,1,0,0,0,9,1,2,0,15,2,25443.0,1,0,63,34,0,USR0005,2010-02-02
1,1,0,1,0,0,0,2,1,4,0,16,0,30614.0,1,2,102,15,10,USR0006,2010-01-04
2,1,1,1,0,0,0,10,1,6,1,8,2,148897.0,1,0,81,35,0,USR0006,2010-01-05
2,2,0,1,1,1,1,10,1,3,2,8,0,173407.0,1,0,71,24,5,USR0006,2010-01-06
1,2,0,1,0,0,0,4,1,5,0,7,0,196250.0,1,0,154,37,5,USR0006,2010-01-07
1,1,1,1,0,0,0,6,1,3,1,19,0,102032.0,1,0,104,26,5,USR0006,2010-01-08
1,1,0,1,0,0,0,7,1,3,1,12,1,107451.0,1,2,63,8,0,USR0006,2010-01-09
2,2,0,1,0,0,0,3,1,6,1,11,2,15829.0,1,2,64,10,5,USR0006,2010-01-10
2,1,0,1,1,1,1,11,1,5,1,21,0,197536.0,1,3,82,35,0,USR0006,2010-01-11
2,2,1,1,0,0,0,6,1,5,1,17,2,50229.0,1,2,114,5,5,USR0006,2010-01-12
1,1,1,1,0,0,0,7,1,5,2,18,2,93736.0,1,0,50,22,5,USR0006,2010-01-13
1,1,1,1,1,1,1,12,1,3,2,19,1,188643.0,1,3,90,30,5,USR0006,2010-01-14
1,2,0,1,0,0,0,9,1,7,2,12,1,153174.0,1,3,22,40,0,USR0006,2010-01-15
2,1,0,1,0,0,0,4,1,6,2,12,2,188689.0,1,3,56,23,10,USR0006,2010-01-16
1,1,0,1,0,0,0,12,1,5,2,18,2,129947.0,1,2,34,21,0,USR0006,2010-01-17
1,2,0,1,0,0,0,8,1,5,2,20,0,75957.0,1,0,99,10,0,USR0006,2010-01-18
1,2,0,1,0,0,0,8,1,5,0,8,1,20272.0,1,1,103,31,10,USR0006,2010-01-19
1,1,0,1,0,0,0,1,1,4,0,8,2,109462.0,1,1,88,32,0,USR0006,2010-01-20
1,1,0,1,1,1,1,5,1,5,0,10,1,24893.0,1,1,30,31,0,USR0006,2010-01-21
1,2,0,1,1,1,1,10,1,6,2,15,0,138127.0,1,0,117,18,0,USR0006,2010-01-22
1,2,0,1,0,0,0,1,1,4,0,13,1,112866.0,1,0,103,19,0,USR0006,2010-01-23
2,2,0,1,1,1,1,10,1,5,2,14,0,241412.0,1,0,118,5,10,USR0006,2010-01-24
1,2,0,1,0,0,0,4,1,4,0,15,0,118318.0,1,2,120,32,10,USR0006,2010-01-25
2,1,0,1,0,0,0,10,1,3,1,8,2,107977.0,1,3,57,21,0,USR0006,2010-01-26
1,2,1,1,0,0,0,4,1,5,2,8,1,169862.0,1,1,37,38,5,USR0006,2010-01-27
2,1,0,1,0,0,0,10,1,4,0,16,2,243666.0,1,0,105,17,0,USR0006,2010-01-28
2,1,1,1,1,1,1,3,1,4,0,20,1,54441.0,1,3,146,5,0,USR0006,2010-01-29
2,1,0,1,0,0,0,6,1,2,0,16,1,182871.0,1,1,143,9,10,USR0006,2010-01-30
1,2,0,1,0,0,0,10,1,6,1,16,2,103116.0,1,0,130,37,0,USR0006,2010-01-31
2,2,0,1,0,0,0,7,1,5,0,14,1,235803.0,1,3,112,7,0,USR0006,2010-02-01
1,1,1,1,1,1,1,4,1,3,1,16,0,173386.0,1,0,113,35,10,USR0006,2010-02-02
2,1,0,1,0,0,0,12,1,6,2,15,2,199135.0,1,0,98,26,0,USR0007,2010-01-04
1,1,0,1,0,0,0,1,1,5,0,13,0,123690.0,1,0,69,13,5,USR0007,2010-01-05
1,2,0,1,1,1,1,4,1,5,1,22,1,244422.0,1,3,24,21,0,USR0007,2010-01-06
1,2,0,1,0,0,0,7,1,5,1,10,0,183845.0,1,3,37,29,5,USR0007,2010-01-07
1,2,1,1,1,1,1,9,1,7,2,21,2,97183.0,1,2,75,9,0,USR0007,2010-01-08
1,2,1,1,0,0,0,7,1,5,2,5,0,245755.0,1,0,116,7,0,USR0007,2010-01-09
1,1,0,1,1,1,1,10,1,1,0,6,2,87408.0,1,1,85,28,5,USR0007,2010-01-10
2,1,0,1,1,1,1,3,1,4,2,19,1,160167.0,1,2,138,21,0,USR0007,2010-01-11
1,1,0,1,0,0,0,6,1,2,1,6,1,97707.0,1,1,58,34,10,USR0007,2010-01-12
1,1,0,1,1,1,1,8,1,4,1,8,1,143969.0,1,2,79,26,0,USR0007,2010-01-13
1,2,0,1,0,0,0,4,1,3,1,8,1,134383.0,1,0,67,5,10,USR0007,2010-01-14
2,1,1,1,0,0,0,11,1,4,2,12,0,77854.0,1,0,135,27,0,USR0007,2010-01-15
2,2,0,1,0,0,0,7,1,2,0,16,0,92237.0,1,1,58,27,0,USR0007,2010-01-16
2,1,0,1,0,0,0,8,1,3,2,16,2,19492.0,1,1,120,12,0,USR0007,2010-01-17
1,1,0,1,1,1,1,4,1,4,0,9,0,131707.0,1,0,122,25,5,USR0007,2010-01-18
1,2,1,1,1,1,1,3,1,5,0,13,1,139502.0,1,2,55,25,5,USR0007,2010-01-19
1,1,1,1,0,0,0,7,1,4,2,10,1,178172.0,1,0,109,5,0,USR0007,2010-01-20
1,2,1,1,0,0,0,2,1,5,0,10,1,84531.0,1,2,50,36,0,USR0007,2010-01-21
1,2,0,1,0,0,0,2,1,3,0,20,1,190806.0,1,0,155,19,10,USR0007,2010-01-22
2,1,1,1,0,0,0,3,1,4,0,18,0,14582.0,1,1,22,26,0,USR0007,2010-01-23
2,1,0,1,0,0,0,1,1,3,0,15,0,192145.0,1,3,30,15,10,USR0007,2010-01-24
1,2,0,1,0,0,0,7,1,5,0,15,2,149265.0,1,0,73,27,0,USR0007,2010-01-25
1,1,1,1,1,1,1,4,1,1,0,17,2,104764.0,1,0,119,39,5,USR0007,2010-01-26
1,1,0,1,0,0,0,3,1,4,0,12,2,21476.0,1,3,67,10,5,USR0007,2010-01-27
1,2,1,1,1,1,1,8,1,7,2,20,2,189323.0,1,1,146,37,5,USR0007,2010-01-28
2,1,0,1,1,1,1,7,1,5,0,12,2,165521.0,1,3,41,24,10,USR0007,2010-01-29
2,2,0,1,0,0,0,8,1,5,2,10,1,160392.0,1,0,94,24,0,USR0007,2010-01-30
2,2,0,1,0,0,0,6,1,6,2,7,1,121533.0,1,1,25,18,0,USR0007,2010-01-31
1,1,1,1,0,0,0,10,1,3,1,10,2,137866.0,1,1,45,26,5,USR0007,2010-02-01
2,2,0,1,1,1,1,2,1,5,1,20,1,248048.0,1,2,122,24,5,USR0007,2010-02-02
2,2,0,1,0,0,0,1,1,5,0,13,2,119930.0,1,1,99,17,5,USR0008,2010-01-04
1,1,0,1,0,0,0,9,1,2,1,14,1,55296.0,1,0,34,14,10,USR0008,2010-01-05
2,2,0,1,1,1,1,11,1,3,1,14,0,236401.0,1,0,35,19,10,USR0008,2010-01-06
2,2,0,1,0,0,0,6,1,4,2,19,2,51330.0,1,3,47,24,10,USR0008,2010-01-07
1,1,0,1,0,0,0,3,1,3,1,5,2,103076.0,1,0,120,29,10,USR0008,2010-01-08
1,2,0,1,0,0,0,12,1,3,2,10,0,189107.0,1,3,97,34,0,USR0008,2010-01-09
1,1,0,1,1,1,1,8,1,5,0,5,0,149800.0,1,0,59,25,5,USR0008,2010-01-10
2,1,1,1,0,0,0,7,1,6,1,15,2,241760.0,1,3,26,33,5,USR0008,2010-01-11
2,1,0,1,0,0,0,4,1,6,2,13,0,158023.0,1,2,100,29,10,USR0008,2010-01-12
1,2,1,1,1,1,1,3,1,4,2,16,1,230143.0,1,3,154,36,10,USR0008,2010-01-13
2,1,0,1,1,1,1,1,1,3,0,11,2,79562.0,1,1,56,12,5,USR0008,2010-01-14
2,1,0,1,0,0,0,6,1,2,1,17,0,205546.0,1,2,110,38,5,USR0008,2010-01-15
2,2,0,1,1,1,1,4,1,3,1,17,0,144973.0,1,2,62,21,5,USR0008,2010-01-16
1,2,0,1,0,0,0,9,1,4,2,20,1,227654.0,1,0,41,10,10,USR0008,2010-01-17
1,2,0,1,0,0,0,5,1,5,0,10,0,242258.0,1,3,139,28,0,USR0008,2010-01-18
1,2,0,1,0,0,0,4,1,3,2,22,1,78286.0,1,2,20,18,0,USR0008,2010-01-19
1,1,0,1,0,0,0,3,1,5,0,8,2,93833.0,1,1,71,30,0,USR0008,2010-01-20
2,1,0,1,0,0,0,11,1,5,1,19,0,11981.0,1,1,94,40,0,USR0008,2010-01-21
2,2,1,1,1,1,1,8,1,6,1,22,2,165892.0,1,3,63,23,10,USR0008,2010-01-22
1,2,1,1,0,0,0,1,1,1,0,20,0,84292.0,1,0,37,6,10,USR0008,2010-01-23
1,1,0,1,0,0,0,2,1,5,0,22,1,58631.0,1,3,148,11,0,USR0008,2010-01-24
2,1,0,1,0,0,0,4,1,4,1,12,0,101929.0,1,0,32,27,0,USR0008,2010-01-25
1,2,0,1,0,0,0,8,1,7,2,12,0,159060.0,1,3,130,23,0,USR0008,2010-01-26
1,2,0,1,0,0,0,1,1,1,0,17,1,145060.0,1,0,94,18,10,USR0008,2010-01-27
2,2,1,1,0,0,0,5,1,2,0,9,2,51224.0,1,1,129,16,10,USR0008,2010-01-28
1,2,0,1,0,0,0,9,1,4,0,9,2,56768.0,1,3,108,12,0,USR0008,2010-01-29
2,1,0,1,0,0,0,5,1,3,2,8,2,88432.0,1,3,120,19,5,USR0008,2010-01-30
1,1,1,1,1,1,1,10,1,3,1,7,0,217699.0,1,2,36,24,5,USR0008,2010-01-31
2,2,0,1,1,1,1,3,1,3,0,12,0,43406.0,1,0,75,27,5,USR0008,2010-02-01
1,1,0,1,0,0,0,7,1,4,2,7,0,70623.0,1,1,103,14,0,USR0008,2010-02-02
2,2,0,1,0,0,0,10,1,2,0,12,1,33625.0,1,1,34,5,5,USR0009,2010-01-04
2,2,0,1,0,0,0,7,1,1,0,19,1,198619.0,1,3,136,16,0,USR0009,2010-01-05
2,1,1,1,0,0,0,2,1,2,0,8,0,13191.0,1,1,110,17,5,USR0009,2010-01-06
2,2,0,1,0,0,0,7,1,4,2,19,2,196032.0,1,0,148,23,10,USR0009,2010-01-07
1,1,0,1,0,0,0,12,1,4,2,20,2,32080.0,1,1,39,34,10,USR0009,2010-01-08
2,2,0,1,0,0,0,6,1,2,1,8,0,175021.0,1,0,122,15,0,USR0009,2010-01-09
1,2,1,1,0,0,0,10,1,3,0,20,1,124813.0,1,3,132,35,10,USR0009,2010-01-10
2,1,0,1,0,0,0,9,1,4,0,19,2,129346.0,1,0,38,22,10,USR0009,2010-01-11
1,2,1,1,0,0,0,4,1,3,2,22,0,16613.0,1,2,78,38,0,USR0009,2010-01-12
2,1,0,1,0,0,0,9,1,2,0,18,2,66301.0,1,1,55,40,0,USR0009,2010-01-13
2,1,1,1,0,0,0,2,1,3,0,8,2,131424.0,1,3,99,11,10,USR0009,2010-01-14
2,2,1,1,1,1,1,9,1,5,2,11,1,210184.0,1,3,105,14,10,USR0009,2010-01-15
1,2,0,1,1,1,1,8,1,3,0,7,2,143919.0,1,0,122,36,10,USR0009,2010-01-16
2,1,0,1,1,1,1,8,1,5,2,14,2,26050.0,1,3,120,30,10,USR0009,2010-01-17
2,2,0,1,0,0,0,4,1,4,0,12,1,127404.0,1,0,23,33,0,USR0009,2010-01-18
2,1,0,1,1,1,1,6,1,4,1,17,2,152608.0,1,2,134,26,10,USR0009,2010-01-19
1,1,0,1,0,0,0,11,1,7,2,22,1,164313.0,1,3,92,22,0,USR0009,2010-01-20
2,1,0,1,0,0,0,9,1,4,0,7,2,80979.0,1,2,100,36,0,USR0009,2010-01-21
2,1,1,1,0,0,0,2,1,3,1,20,1,197363.0,1,0,57,23,0,USR0009,2010-01-22
